"tick","P Sell Price","P Avg Buy","I Sell Price","I Avg Buy","W Sell Price","W Avg Buy","R Sell Price","R Avg Buy"
1.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
2.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
3.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
4.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
5.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
6.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
7.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
8.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
9.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
10.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
11.0,2.0,1.0,32.0,16.0,94.0,47.0,115.04,57.52
12.0,2.0,1.0,32.0,16.0,94.0,47.0,115.648,57.824
13.0,2.0,1.0,32.0,16.0,94.0,47.0,115.648,57.824
14.0,2.0,1.0,32.0,16.0,94.0,47.0,115.648,57.824
15.0,2.0,1.0,32.0,16.0,91.0,45.5,115.648,57.824
16.0,2.0,1.0,32.0,16.0,91.0,45.5,115.648,57.824
17.0,2.0,1.0,32.0,16.0,91.0,45.5,115.648,57.824
18.0,2.0,1.0,32.0,16.0,91.0,45.5,115.648,57.824
19.0,1.8699999999999999,0.9349999999999999,27.800000000000004,13.900000000000002,91.0,45.5,116.136,58.068
20.0,1.7342539682539682,0.883,27.800000000000004,13.900000000000002,91.0,45.5,116.5264,58.2632
21.0,1.6510539682539682,0.8413999999999999,27.800000000000004,13.900000000000002,91.0,45.5,117.84512,58.92256
22.0,1.584493968253968,0.80812,27.800000000000004,13.900000000000002,91.0,45.5,118.65024,59.32512
23.0,1.531245968253968,0.781496,27.800000000000004,13.900000000000002,91.0,45.5,118.884736,59.442368
24.0,1.488647568253968,0.7601968,27.800000000000004,13.900000000000002,91.0,45.5,119.07233279999998,59.53616639999999
25.0,1.454568848253968,0.7431574400000001,25.406496000000004,12.703248000000002,91.0,45.5,119.22241024000002,59.61120512000001
26.0,1.4273058722539682,0.729525952,24.199094400000003,12.099547200000002,91.0,45.5,119.342472192,59.671236096
27.0,1.4054954914539683,0.7186207616,22.245952640000002,11.122976320000001,91.0,45.5,119.342472192,59.671236096
28.0,1.3880471868139683,0.7098966092800001,21.264695936000003,10.632347968000001,91.0,45.5,119.342472192,59.671236096
29.0,1.2915488605622858,0.6595839540906667,16.457124083333518,8.471981762316192,91.0,45.5,119.342472192,59.671236096
30.0,1.2143501995609396,0.6193338299392,14.722201211379232,7.577126807308192,91.0,45.5,119.342472192,59.671236096
31.0,1.152591270759863,0.5871337306180268,13.280967667772375,6.846687030462173,91.0,45.5,119.41054236743861,59.671236096
32.0,1.1031841277190013,0.5613736511610881,12.119738586123614,6.258147615871758,79.49199880200824,40.78609601848076,119.41054236743861,59.671236096
33.0,1.0636584132863123,0.5407655875955371,11.325475810968632,5.849508693657153,79.49199880200824,40.78609601848076,119.41054236743861,59.671236096
34.0,1.032037841740161,0.5242791367430963,10.758864180878241,5.558761483312984,79.49199880200824,40.78609601848076,119.41054236743861,59.671236096
