"tick","Intervened % Global","Intervened % NL"
1.0,NaN,NaN
2.0,NaN,NaN
3.0,NaN,NaN
4.0,0.0,NaN
5.0,0.0,NaN
6.0,0.0,NaN
7.0,0.0,NaN
8.0,0.0,NaN
9.0,0.0,NaN
10.0,0.0,NaN
11.0,0.0,NaN
12.0,0.0,NaN
13.0,0.0,NaN
14.0,0.0,NaN
15.0,0.0,NaN
16.0,0.0,NaN
17.0,0.0,NaN
18.0,0.0,NaN
19.0,0.0,NaN
20.0,0.0,NaN
21.0,0.0,NaN
22.0,0.0,NaN
23.0,0.0,NaN
24.0,0.0,NaN
25.0,0.0,NaN
26.0,0.0,NaN
27.0,0.0,NaN
28.0,0.0,NaN
29.0,0.0,0.0
30.0,0.0,0.0
31.0,0.0,0.0
32.0,0.0,0.0
33.0,0.0,0.0
34.0,0.0,0.0
35.0,0.0,0.0
36.0,0.0,0.0
37.0,0.0,0.0
38.0,0.0,0.0
39.0,0.0,0.0
40.0,0.0,0.0
41.0,0.0,0.0
42.0,0.0,0.0
43.0,0.0,0.0
44.0,0.0,0.0
45.0,0.0,0.0
46.0,0.0,0.0
47.0,0.0,0.0
48.0,0.0,0.0
49.0,0.0,0.0
50.0,0.0,0.0
51.0,0.0,0.0
52.0,0.0,0.0
53.0,0.0,0.0
54.0,0.0,0.0
55.0,0.0,0.0
56.0,0.0,0.0
57.0,0.0,0.0
58.0,0.0,0.0
59.0,0.0,0.0
60.0,0.0,0.0
61.0,0.0,0.0
62.0,0.0,0.0
63.0,0.0,0.0
64.0,0.0,0.0
65.0,0.0,0.0
66.0,0.0,0.0
67.0,0.0,0.0
68.0,0.0,0.0
69.0,0.0,0.0
70.0,0.0,0.0
71.0,0.0,0.0
72.0,0.0,0.0
73.0,0.0,0.0
74.0,0.0,0.0
75.0,0.0,0.0
76.0,0.0,0.0
77.0,0.0,0.0
78.0,0.0,0.0
79.0,0.0,0.0
80.0,0.0,0.0
81.0,0.0,0.0
82.0,0.0,0.0
83.0,0.0,0.0
84.0,0.0,0.0
85.0,0.0,0.0
86.0,0.0,0.0
87.0,0.0,0.0
88.0,0.0,0.0
89.0,0.0,0.0
90.0,0.0,0.0
91.0,0.0,0.0
92.0,0.0,0.0
93.0,0.0,0.0
94.0,0.0,0.0
95.0,0.0,0.0
96.0,0.0,0.0
97.0,0.0,0.0
98.0,0.0,0.0
99.0,0.0,0.0
100.0,0.0,0.0
101.0,0.0,0.0
102.0,0.28735632183908044,0.0
103.0,0.2857142857142857,0.0
104.0,0.2824858757062147,0.0
105.0,0.554016620498615,0.0
106.0,0.819672131147541,0.0
107.0,0.8086253369272237,0.0
108.0,1.0666666666666667,0.0
109.0,1.0610079575596816,0.0
110.0,1.0526315789473684,0.0
111.0,1.2919896640826873,0.0
112.0,1.7857142857142856,0.0
113.0,1.7676767676767675,0.0
114.0,1.7543859649122806,0.0
115.0,1.99501246882793,0.0
116.0,1.9900497512437811,0.0
117.0,2.2277227722772275,0.0
118.0,2.2222222222222223,0.0
119.0,2.211302211302211,0.0
120.0,2.2004889975550124,0.0
121.0,2.1844660194174756,0.0
122.0,2.1791767554479415,0.0
123.0,2.158273381294964,0.0
124.0,2.137767220902613,0.0
125.0,2.112676056338028,0.0
126.0,2.314814814814815,0.0
127.0,2.5345622119815667,0.0
128.0,2.522935779816514,0.0
129.0,2.517162471395881,0.0
130.0,2.733485193621868,0.0
131.0,2.7210884353741496,0.0
132.0,2.9345372460496613,0.0
133.0,2.9345372460496613,0.0
134.0,2.9345372460496613,0.0
135.0,2.914798206278027,0.0
136.0,2.89532293986637,0.0
137.0,2.888888888888889,0.0
138.0,2.8761061946902653,0.0
139.0,3.289473684210526,0.0
140.0,3.260869565217391,0.0
141.0,3.2397408207343417,0.0
142.0,3.205128205128205,0.0
143.0,3.171247357293869,0.0
144.0,3.125,0.0
145.0,3.3057851239669422,0.0
146.0,3.285420944558522,0.0
147.0,3.2586558044806515,0.0
148.0,3.2323232323232323,0.0
149.0,3.2064128256513023,0.0
150.0,3.3596837944664033,0.0
151.0,3.508771929824561,0.0
152.0,3.667953667953668,0.0
153.0,3.6121673003802277,0.0
154.0,3.7593984962406015,0.0
155.0,3.910614525139665,0.0
156.0,3.888888888888889,0.0
157.0,4.029304029304029,0.0
158.0,4.174228675136116,0.0
159.0,4.324324324324325,0.0
160.0,4.301075268817205,0.0
161.0,4.270462633451958,0.0
162.0,4.401408450704225,0.0
163.0,4.553415061295972,0.0
164.0,4.869565217391305,0.0
165.0,4.852686308492201,0.0
166.0,4.827586206896552,0.0
167.0,4.802744425385934,0.0
168.0,4.761904761904762,0.0
169.0,4.898648648648648,0.0
170.0,5.033557046979865,0.0
171.0,5.166666666666667,0.0
172.0,5.140961857379768,0.0
173.0,5.115511551155116,0.0
174.0,5.0903119868637114,0.0
175.0,5.040650406504065,0.0
176.0,5.008077544426494,0.0
177.0,4.975922953451043,0.0
178.0,5.071315372424722,0.0
179.0,5.164319248826291,0.0
180.0,5.255023183925812,0.0
181.0,5.151515151515151,0.0
182.0,5.192878338278932,0.0
183.0,5.255474452554744,0.0
184.0,5.2249637155297535,0.0
185.0,5.179856115107913,0.0
186.0,5.270655270655271,0.0
187.0,5.240793201133145,0.0
188.0,5.218617771509168,0.0
189.0,5.477528089887641,0.0
190.0,5.454545454545454,0.0
191.0,5.4242002781641165,0.0
192.0,5.540166204986149,0.0
193.0,5.517241379310345,0.0
194.0,5.46448087431694,0.0
195.0,5.420054200542006,0.0
196.0,5.369127516778524,0.0
197.0,5.718085106382978,0.0
198.0,5.82010582010582,0.0
199.0,5.797101449275362,0.0
200.0,5.890052356020942,0.0
201.0,5.966277561608301,0.0
202.0,5.905006418485238,0.0
203.0,6.06826801517067,0.0
204.0,6.0,0.0
205.0,6.056860321384425,0.0
206.0,6.105006105006105,0.0
207.0,6.0606060606060606,0.0
208.0,6.144578313253012,0.0
209.0,6.107784431137724,0.0
210.0,6.212664277180406,0.0
211.0,6.190476190476191,0.0
212.0,6.1465721040189125,0.0
213.0,6.213364595545135,0.0
214.0,6.162790697674419,0.0
215.0,6.365740740740741,0.0
216.0,6.551724137931035,0.0
217.0,6.514285714285714,0.0
218.0,6.4772727272727275,0.0
219.0,6.440677966101695,0.0
220.0,6.404494382022471,0.0
221.0,6.592178770949721,0.0
222.0,6.577480490523968,0.0
223.0,6.6815144766147,0.0
224.0,6.651884700665188,0.0
225.0,6.6006600660066,0.0
226.0,6.652126499454744,0.0
227.0,6.616052060737528,0.0
228.0,6.580366774541532,0.0
229.0,6.524064171122995,0.0
230.0,6.475583864118896,0.0
231.0,6.455026455026455,0.0
232.0,6.701570680628273,0.0
233.0,6.659729448491156,0.0
234.0,6.618407445708377,0.0
235.0,6.7761806981519515,0.0
236.0,6.741573033707865,0.0
237.0,6.707317073170732,0.0
238.0,6.633165829145729,0.0
239.0,6.679960119641076,0.0
240.0,6.70611439842209,0.0
241.0,6.758080313418217,0.0
242.0,6.789524733268672,0.0
243.0,6.724303554274735,0.0
244.0,6.837606837606838,0.0
245.0,6.87382297551789,0.0
246.0,6.915887850467289,0.0
247.0,7.069767441860465,0.0
248.0,7.142857142857142,0.0
249.0,7.12962962962963,0.0
250.0,7.096774193548387,0.0
251.0,7.169117647058823,0.0
252.0,7.142857142857142,0.0
253.0,7.097361237488626,0.0
254.0,7.0588235294117645,0.0
255.0,7.008086253369273,0.0
256.0,6.976744186046512,0.0
257.0,6.945681211041853,0.0
258.0,6.997342781222321,0.0
259.0,7.0609002647837595,0.0
260.0,7.036059806508356,0.0
261.0,7.005253940455342,0.0
262.0,6.968641114982578,0.0
263.0,6.938421509106678,0.0
264.0,7.087294727744166,0.0
265.0,7.06896551724138,0.0
266.0,7.05073086844368,0.0
267.0,7.02054794520548,0.0
268.0,7.0698466780238505,0.0
269.0,7.118644067796611,0.0
270.0,7.172995780590717,0.0
271.0,7.184628237259815,0.0
272.0,7.119205298013245,0.0
273.0,7.054963084495489,0.0
274.0,7.1486596263200655,0.0
275.0,7.1025020177562554,0.0
276.0,7.142857142857142,0.0
277.0,7.1086261980830665,0.0
278.0,7.148530579825259,0.0
279.0,7.205067300079176,0.0
280.0,7.199367088607595,0.0
281.0,7.148468185388845,0.0
282.0,7.187499999999999,0.0
283.0,7.137315748642359,0.0
284.0,7.159353348729793,0.0
285.0,7.126436781609195,0.0
286.0,7.0830159939070825,0.0
287.0,7.040121120363361,0.0
288.0,6.992481203007518,0.0
289.0,7.0201643017177,0.0
290.0,7.0684523809523805,0.0
291.0,7.111111111111111,0.0
292.0,7.221812822402359,0.0
293.0,7.268722466960352,0.0
294.0,7.247437774524158,0.0
295.0,7.20524017467249,0.0
296.0,7.230657989877079,0.0
297.0,7.317073170731707,0.0
298.0,7.28051391862955,0.0
299.0,7.2443181818181825,0.0
300.0,7.183098591549296,0.0
301.0,7.147862648913805,0.0
302.0,7.177700348432056,0.0
303.0,7.197231833910036,0.0
304.0,7.305306685044796,0.0
305.0,7.43289745354439,0.0
306.0,7.422680412371134,0.0
307.0,7.382091592617908,0.0
308.0,7.425068119891008,0.0
309.0,7.46775288526816,0.0
310.0,7.427413909520594,0.0
311.0,7.44466800804829,0.0
312.0,7.404936624416278,0.0
313.0,7.417218543046358,0.0
314.0,7.382992748846408,0.0
315.0,7.414698162729659,0.0
316.0,7.380796864794252,0.0
317.0,7.41704619388419,0.0
318.0,7.453013609850939,0.0
319.0,7.433742727860375,0.0
320.0,7.3907455012853465,0.0
321.0,7.421625079974409,0.0
322.0,7.461734693877552,0.0
323.0,7.550761421319797,0.0
324.0,7.52212389380531,0.0
325.0,7.542426147077309,0.0
326.0,7.5,0.0
327.0,7.444168734491314,0.0
328.0,7.573891625615764,0.0
329.0,7.541385652973635,0.0
330.0,7.5,0.0
331.0,7.468123861566485,0.0
332.0,7.474382157926461,0.0
333.0,7.438512297540492,0.0
334.0,7.577565632458234,0.0
335.0,7.623585467540203,0.0
336.0,7.6145151695419395,0.0
337.0,7.600950118764846,0.0
338.0,7.587433313574392,0.0
339.0,7.569485511531639,0.0
340.0,7.665094339622641,0.0
341.0,7.647058823529412,0.0
342.0,7.678780773739742,0.0
343.0,7.660818713450293,0.0
344.0,7.696793002915451,0.0
345.0,7.723577235772358,0.0
346.0,7.798960138648179,0.0
347.0,7.780979827089338,0.0
348.0,7.8205865439907996,0.0
349.0,7.780320366132723,0.0
350.0,7.806267806267806,0.0
351.0,7.849829351535837,0.0
352.0,7.814269535673839,0.0
353.0,7.77027027027027,0.0
354.0,7.778399552322328,0.0
355.0,7.743732590529248,0.0
356.0,7.722222222222222,0.0
357.0,7.688053097345132,0.0
358.0,7.700770077007702,0.0
359.0,7.772304324028462,0.0
360.0,7.797164667393675,0.0
361.0,7.754880694143167,0.0
362.0,7.771181867242309,0.0
363.0,7.8040904198062435,0.0
364.0,7.778969957081546,0.0
365.0,7.811663991439273,0.0
366.0,7.831646244006393,0.0
367.0,7.786016949152542,0.0
368.0,7.769028871391076,0.0
369.0,7.792887029288703,0.0
370.0,7.772561293688055,0.0
371.0,7.78816199376947,0.0
372.0,7.763975155279502,0.0
373.0,7.727975270479134,0.0
374.0,7.7002053388090355,0.0
375.0,7.7198364008179965,0.0
376.0,7.719654647028949,0.0
377.0,7.735085945399393,0.0
378.0,7.766011094301563,0.0
379.0,7.7425842131724485,0.0
380.0,7.75,0.0
381.0,7.711442786069651,0.0
382.0,7.665677546983185,0.0
383.0,7.627952755905512,0.0
384.0,7.737512242899118,0.0
385.0,7.718612603810454,0.0
386.0,7.752315943442223,0.0
387.0,7.740993184031159,0.0
388.0,7.733463035019455,0.0
389.0,7.774538386783285,0.0
390.0,7.751937984496124,0.0
391.0,7.7815369743837595,0.0
392.0,7.77027027027027,0.0
393.0,7.751564756860857,0.0
394.0,7.725527831094049,0.0
395.0,7.747489239598278,0.0
396.0,7.7693040991420395,0.0
397.0,7.747148288973384,0.0
398.0,7.7214590241591665,0.0
399.0,7.699574870099197,0.0
400.0,7.721280602636535,0.0
401.0,7.6923076923076925,0.0
402.0,7.6923076923076925,0.0
403.0,7.699443413729128,0.0
404.0,7.660359944623904,0.0
405.0,7.706422018348624,0.0
406.0,7.664233576642336,0.0
407.0,7.629427792915531,0.0
408.0,7.59493670886076,0.0
409.0,7.616043262730959,0.0
410.0,7.6750448833034115,0.0
411.0,7.6923076923076925,0.0
412.0,7.675145024542615,0.0
413.0,7.685473123056418,0.0
414.0,7.739938080495357,0.0
415.0,7.746478873239436,0.0
416.0,7.769973661106233,0.0
417.0,7.793345008756567,0.0
418.0,7.816593886462882,0.0
419.0,7.799564270152505,0.0
420.0,7.775847089487402,0.0
421.0,7.842287694974004,0.0
422.0,7.878787878787878,0.0
423.0,7.851596203623814,0.0
424.0,7.907176622260422,0.0
425.0,7.883461868037704,0.0
426.0,7.912745936698032,0.0
427.0,7.902605724049551,0.0
428.0,7.8824030677460595,0.0
429.0,7.855626326963907,0.0
430.0,7.829030892932713,0.0
431.0,7.841483979763912,0.0
432.0,7.815126050420168,0.0
433.0,7.879295892707461,0.0
434.0,7.894736842105263,0.0
435.0,7.996668054977094,0.0
436.0,7.983367983367984,0.0
437.0,7.970112079701121,0.0
438.0,7.960199004975125,0.0
439.0,7.98841059602649,0.0
440.0,7.981803143093466,0.0
441.0,8.00990916597853,0.0
442.0,7.993407498969922,0.0
443.0,7.9769736842105265,0.0
444.0,7.957342083675144,0.0
445.0,7.9787234042553195,0.0
446.0,8.003266639444671,0.0
447.0,7.990216061964942,0.0
448.0,7.970719804798698,0.0
449.0,7.988645579886455,0.0
450.0,8.05668016194332,0.0
451.0,8.050161812297734,0.0
452.0,8.037156704361873,0.0
453.0,8.020959290608626,0.0
454.0,8.038585209003216,0.0
455.0,8.019246190858059,0.0
456.0,8.009611533840609,0.0
457.0,7.9968012794882055,0.0
458.0,7.971303308090873,0.0
459.0,7.998408276959809,0.0
460.0,7.976190476190475,0.0
461.0,7.950949367088607,0.0
462.0,7.965299684542587,0.0
463.0,7.930899096976836,0.0
464.0,7.981220657276995,0.0
465.0,7.965638422491214,0.0
466.0,7.98908807482463,0.0
467.0,8.01556420233463,0.0
468.0,8.0,0.0
469.0,7.981402557148392,0.0
470.0,7.959814528593509,0.0
471.0,7.9414032382420965,0.0
472.0,7.958477508650519,0.0
473.0,7.969348659003832,0.0
474.0,7.980145093547156,0.0
475.0,7.958872810357959,0.0
476.0,7.934700075930144,0.0
477.0,7.916666666666666,0.0
478.0,7.980332829046899,0.0
479.0,7.968277945619335,0.0
480.0,7.984934086629002,0.0
481.0,8.0105302745393,0.0
482.0,7.99249530956848,0.0
483.0,7.971556886227544,0.0
484.0,7.947761194029851,0.0
485.0,7.927056196501675,0.0
486.0,7.906458797327394,0.0
487.0,7.885968159940762,0.0
488.0,7.902511078286559,0.0
489.0,7.8966789667896675,0.0
490.0,7.921886514369934,0.0
491.0,7.907318867230599,0.0
492.0,7.935341660543719,0.0
493.0,7.929515418502203,0.0
494.0,7.9178885630498534,0.0
495.0,7.909190772610765,0.0
496.0,7.903402854006586,0.0
497.0,7.928388746803069,0.0
498.0,7.902403495994173,0.0
499.0,7.8708741385564025,0.0
500.0,7.8424286230574625,0.0
501.0,7.828282828282829,0.0
502.0,7.841726618705036,0.0
503.0,7.863554757630162,0.0
504.0,7.849462365591398,0.0
505.0,7.835420393559929,0.0
506.0,7.887223411848679,0.0
507.0,7.8759800427655025,0.0
508.0,7.864768683274022,0.0
509.0,7.848011363636363,0.0
510.0,7.828551186680836,0.0
511.0,7.809187279151944,0.0
512.0,7.8196548080309976,0.0
513.0,7.8031634446397184,0.0
514.0,7.781282860147214,0.0
515.0,7.76495278069255,0.0
516.0,7.802159526297457,0.0
517.0,7.777777777777778,0.0
518.0,7.822776047075113,0.0
519.0,7.806563039723661,0.0
520.0,7.790417097552568,0.0
521.0,7.768992781024407,0.0
522.0,7.739726027397261,0.0
523.0,7.784226698531922,0.0
524.0,7.78382053025153,0.0
525.0,7.825203252032519,0.0
526.0,7.863651704353695,0.0
527.0,7.837201479986546,0.0
528.0,7.818791946308725,0.0
529.0,7.792642140468227,0.0
530.0,7.835945315105035,0.0
531.0,7.825507825507826,0.0
532.0,7.8789893617021285,0.0
533.0,7.860696517412935,0.0
534.0,7.837301587301587,0.0
535.0,7.816622691292877,0.0
536.0,7.899934167215274,0.0
537.0,7.889546351084813,0.0
538.0,7.876599934361667,0.0
539.0,7.899049491969847,0.0
540.0,7.888707037643209,0.0
541.0,7.880967952910399,0.0
542.0,7.895595432300164,0.0
543.0,7.880169325952459,0.0
544.0,7.864803379915503,0.0
545.0,7.884490590525632,0.0
546.0,7.876823338735818,0.0
547.0,7.898996438977016,0.0
548.0,7.88623141564318,0.0
549.0,7.87350758309132,0.0
550.0,7.895584917821463,0.0
551.0,7.880347378578321,0.0
552.0,7.897271268057785,0.0
553.0,7.882089074014739,0.0
554.0,7.869481765834934,0.0
555.0,7.891373801916933,0.0
556.0,7.878787878787878,0.0
557.0,7.86624203821656,0.0
558.0,7.880521131236098,0.0
559.0,7.863031071655041,0.0
560.0,7.8431372549019605,0.0
561.0,7.823343848580441,0.0
562.0,7.803650094398994,0.0
563.0,7.846829880728186,0.0
564.0,7.841907151819323,0.0
565.0,7.836990595611286,0.0
