"tick","Imported NL Low","Imported NL High","Imported ES Low","Imported ES High"
1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,25.0,25.0
16.0,0.0,0.0,25.0,25.0
17.0,0.0,0.0,25.0,25.0
18.0,0.0,0.0,25.0,25.0
19.0,0.0,0.0,25.0,25.0
20.0,0.0,0.0,25.0,25.0
21.0,0.0,0.0,25.0,25.0
22.0,0.0,0.0,25.0,25.0
23.0,0.0,0.0,25.0,25.0
24.0,0.0,0.0,25.0,25.0
25.0,0.0,0.0,25.0,25.0
26.0,0.0,0.0,25.0,25.0
27.0,0.0,0.0,25.0,25.0
28.0,0.0,0.0,25.0,25.0
29.0,0.0,0.0,25.0,25.0
30.0,0.0,0.0,25.0,25.0
31.0,0.0,0.0,25.0,25.0
32.0,28.17939822727691,0.0,77.10758513576204,25.0
33.0,28.17939822727691,0.0,77.10758513576204,25.0
34.0,28.17939822727691,0.0,77.10758513576204,25.0
35.0,57.55976862076453,0.0,77.10758513576204,25.0
36.0,57.55976862076453,0.0,105.49730223754396,25.0
37.0,89.9000168681421,0.0,105.49730223754396,25.0
38.0,89.9000168681421,0.0,105.49730223754396,25.0
39.0,89.9000168681421,0.0,105.49730223754396,25.0
40.0,114.9000168681421,0.0,130.49730223754398,25.0
41.0,114.9000168681421,0.0,130.49730223754398,25.0
42.0,114.9000168681421,0.0,130.49730223754398,25.0
43.0,143.73077938005886,0.0,130.49730223754398,25.0
44.0,143.73077938005886,0.0,130.49730223754398,25.0
45.0,143.73077938005886,0.0,130.49730223754398,25.0
46.0,143.73077938005886,0.0,130.49730223754398,25.0
47.0,172.69544296404112,0.0,130.49730223754398,25.0
48.0,172.69544296404112,0.0,130.49730223754398,25.0
49.0,172.69544296404112,0.0,130.49730223754398,25.0
50.0,172.69544296404112,0.0,130.49730223754398,25.0
