"tick","P Sell Price","P Avg Buy","I Sell Price","I Avg Buy","W Sell Price","W Avg Buy","R Sell Price","R Avg Buy"
1.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
2.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
3.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
4.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
5.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
6.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
7.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
8.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
9.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
10.0,2.0,1.0,32.0,16.0,94.0,47.0,112.0,56.0
11.0,2.0,1.0,32.0,16.0,94.0,47.0,115.04,57.52
12.0,2.0,1.0,32.0,16.0,94.0,47.0,115.648,57.824
13.0,2.0,1.0,32.0,16.0,94.0,47.0,115.648,57.824
14.0,2.0,1.0,32.0,16.0,94.0,47.0,115.648,57.824
15.0,2.0,1.0,32.0,16.0,91.0,45.5,115.648,57.824
16.0,2.0,1.0,32.0,16.0,91.0,45.5,115.648,57.824
17.0,2.0,1.0,32.0,16.0,91.0,45.5,115.648,57.824
18.0,2.0,1.0,32.0,16.0,91.0,45.5,115.648,57.824
19.0,1.8266666666666667,0.9133333333333333,26.400000000000002,13.200000000000001,91.0,45.5,116.136,58.068
20.0,1.6562539682539683,0.8440000000000001,26.400000000000002,13.200000000000001,91.0,45.5,116.89280000000001,58.446400000000004
21.0,1.5453206349206348,0.7885333333333333,26.400000000000002,13.200000000000001,91.0,45.5,117.49824,58.74912
22.0,1.4565739682539682,0.7441599999999999,26.400000000000002,13.200000000000001,91.0,45.5,117.98259200000001,58.991296000000006
23.0,1.3855766349206349,0.7086613333333334,26.400000000000002,13.200000000000001,91.0,45.5,118.3700736,59.1850368
24.0,1.3287787682539682,0.6802623999999999,26.400000000000002,13.200000000000001,91.0,45.5,118.52015104,59.26007552
25.0,1.283340474920635,0.6575432533333333,21.612992000000006,10.806496000000003,91.0,45.5,118.640212992,59.320106496
26.0,1.2469898402539683,0.639367936,21.612992000000006,10.806496000000003,91.0,45.5,118.640212992,59.320106496
27.0,1.217909332520635,0.6248276821333333,17.706708480000007,8.853354240000003,91.0,45.5,118.640212992,59.320106496
28.0,1.1946449263339682,0.61319547904,17.706708480000007,8.853354240000003,91.0,45.5,118.640212992,59.320106496
29.0,1.1347635601147936,0.5822230498986668,13.650439598811435,6.998227041158099,91.0,45.5,118.640212992,59.320106496
30.0,1.086858467139454,0.5574451065856001,11.261816487643436,5.77347824220648,91.0,45.5,118.640212992,59.320106496
31.0,1.0485343927591824,0.5376227519351466,9.337291703656843,4.786699881189184,91.0,45.5,118.44161650077193,59.320106496
32.0,1.017875133254965,0.5217648682147841,7.885499413841437,4.033159735725107,79.49908546694675,40.71068834937905,118.44161650077193,59.320106496
33.0,0.993347725651591,0.5090785612384939,6.412718436246678,3.2773485371974047,79.49908546694675,40.71068834937905,118.44161650077193,59.320106496
34.0,0.9737257995688918,0.4989295156574618,5.6348602981179505,2.8745988662805466,79.49908546694675,40.71068834937905,118.44161650077193,59.320106496
