"tick","Money avg. 1 Producers","Money avg. 2 Internationals","Money avg. 3 Wholesalers","Money avg. 4 Retailers","Money avg. 5 Consumers"
1.0,498.935523780801,39914.90871881589,23450.083061932757,5588.110155930505,0.0
2.0,497.87104756160215,39829.81743763178,23400.166123865518,5576.2203118610105,0.0
3.0,496.8065713424032,39744.726156447665,23350.249185798275,5564.330467791515,0.0
4.0,495.74209512320425,39659.63487526355,23300.332247731036,5552.440623722021,0.0
5.0,494.67761890400527,39574.54359407944,23250.415309663793,5540.606779652527,0.0
6.0,493.61314268480635,39489.45231289533,23200.498371596554,5528.772935583031,0.0
7.0,492.54866646560737,39404.36103171122,23150.581433529314,5528.139091513536,0.0
8.0,491.48419024640845,39319.269750527106,23100.66449546207,5516.30524744404,0.0
9.0,490.41971402720947,39234.178469342995,23052.9017240615,5504.471403374548,0.0
10.0,489.3552378080106,39149.08718815888,23005.386622061793,5492.637559305052,0.0
11.0,488.2907615888117,39063.99590697477,23427.871520062086,5386.803715235556,0.0
12.0,487.2262853696127,38978.90462579066,23454.65723832263,5359.688749870228,0.0
13.0,486.1618091504138,38895.81334460655,23407.142136322927,5347.487657850848,0.0
14.0,485.09733293121485,38812.722063422436,23359.62703432322,5367.014408089898,0.0
15.0,484.03285671201587,39129.630782238324,22912.111932323514,5388.227395224564,0.0
16.0,482.9683804928169,39046.53950105421,22858.72183032381,5410.19203975576,0.0
17.0,481.9372376069514,38963.4482198701,22805.919228324106,5431.228352977857,0.0
18.0,480.9060947210857,38880.35693868599,22754.107429879165,5429.494318205057,0.0
19.0,486.4832851685535,38787.26565750188,22813.305432070527,5405.9725580644035,0.0
20.0,485.27839228268783,38703.37437631776,22985.716141489138,5349.563903524509,0.0
21.0,483.93128241659656,38619.48309513365,23163.472792226283,5292.014686917546,0.0
22.0,482.41979421217934,38535.59181394953,23347.426576804275,5233.02537506704,0.0
23.0,480.771462682986,38451.70053276542,23537.35521499538,5172.635390048703,0.0
24.0,478.9371294053224,38367.809251581304,23612.49233992627,5134.901113411369,0.0
25.0,482.11752293875406,38276.06999882863,23690.85373460389,5096.365486843252,0.0
26.0,479.83163826791065,38191.159897500605,23643.029731263716,5082.934340281219,0.0
27.0,481.5972854083506,38099.87196525332,23595.205727923538,5069.5311937191855,0.0
28.0,478.92474937063366,38013.981401303274,23547.381724583363,5064.447799349149,0.0
29.0,483.5441549378714,37916.76574219913,23499.55772124319,5056.644652787118,0.0
30.0,484.0409782267299,37826.88295880436,23451.733717903007,5043.241506225081,0.0
31.0,484.70934733881694,37735.53784204402,23403.909714562833,5029.838359663049,0.0
32.0,485.3534402535516,37933.217487049704,23065.773969357844,5016.435213101015,0.0
33.0,487.0110064301129,37838.928240548004,23009.58243867389,5003.032066538981,0.0
34.0,487.99646969499963,37745.29802988694,22954.736971398146,4989.628919976946,0.0
35.0,489.8300821157958,37697.15449639242,23072.534219383597,4932.579179316956,0.0
36.0,492.2186637166617,37651.07221754655,23186.27519459284,4874.888998920139,0.0
37.0,493.32374234410895,37581.59634996765,23323.716163599554,4816.564910045929,0.0
38.0,495.624903688111,37482.76072309191,23566.80115289758,4760.146924817828,0.0
39.0,497.01170643112175,37384.33517006514,23779.702257517878,4710.435626475079,0.0
40.0,499.19657697001327,37326.95385704303,23935.328689692655,4663.782006112828,0.0
41.0,500.7867186603867,37246.98387774335,23939.436229769868,4659.937317445394,0.0
42.0,498.7715750781059,37152.02911467859,23873.909911486735,4673.62882763899,0.0
43.0,497.5481342554223,37114.93673546434,23846.380653296004,4664.839562169496,0.0
44.0,497.2335330241229,37030.81535875646,23855.671475266063,4650.410319183013,0.0
45.0,496.2274341977222,36933.56672450408,23877.757104273867,4625.207166607804,0.0
46.0,496.64781459232336,36834.7760123038,23884.43155645349,4612.802479049183,0.0
47.0,497.1809789924503,36750.49225203378,23877.403404623168,4600.352170386054,0.0
48.0,496.5893359209538,36663.589324963476,23969.741591846494,4558.5149002508115,0.0
49.0,499.3967552756029,36560.01937706799,23993.01586738041,4532.0624798448325,0.0
50.0,499.4393712170669,36458.66743369604,24019.759371559056,4504.8777399031505,0.0
51.0,497.7899203211352,36369.298739161204,24092.826639146908,4473.571606254893,0.0
52.0,496.8096724001421,36269.39884633795,24175.513887842648,4431.86135305929,0.0
53.0,496.02196867627595,36177.77614305048,24252.41960311014,4389.1099989224,0.0
54.0,496.9785568520436,36074.247659833214,24267.82302817939,4365.834934086614,0.0
55.0,496.76099308162503,35971.865140544294,24284.3731997283,4348.68236275861,0.0
56.0,496.85369227986484,35868.504628543116,24295.511333469745,4332.572635404299,0.0
57.0,497.0551597483478,35764.2580741345,24252.348530728,4321.902110089196,0.0
58.0,497.49954043846617,35658.924343778184,24209.20766340029,4317.5899434822595,0.0
59.0,497.0267316690411,35554.071744649336,24166.087634715917,4313.703571821347,0.0
60.0,498.1186125573113,35446.35923468925,24093.29132972823,4310.347930270151,0.0
61.0,498.12601231951334,35340.411395330666,24020.495024740543,4307.601012692229,0.0
62.0,498.4266703447911,35234.61582559676,23947.698719752854,4310.013149106501,0.0
63.0,499.0412278814777,35138.45277789592,23864.28125824889,4312.956310362479,0.0
64.0,499.97169241112806,35041.87560503859,23778.107838062213,4316.278146084632,0.0
65.0,499.69612301281654,34937.47412874013,23699.3393750333,4311.21754240699,0.0
66.0,499.86909561861205,34841.88496571065,23610.900397562807,4306.077738118502,0.0
67.0,499.1132610886458,34747.30624655329,23549.01225050144,4292.746773000895,0.0
68.0,498.4213187585544,34641.98901510432,23495.26464164557,4274.186228760314,0.0
69.0,498.92203456178237,34534.145334739806,23443.144038822003,4255.549184234588,0.0
70.0,498.0778455959166,34427.709694561156,23392.612256627857,4236.830106214254,0.0
71.0,496.34043946813193,34322.323320834585,23342.95484068968,4218.052172425981,0.0
72.0,495.3057943997204,34215.480026802354,23293.75371379851,4265.9863724794905,0.0
73.0,493.36681702284557,34109.76067638829,23211.318734243552,4260.360177433156,0.0
74.0,491.45617170467796,34004.041325974234,23128.88375468859,4255.094929714056,0.0
75.0,489.60613861361065,33898.32197556018,23046.448775133635,4247.27166426013,0.0
76.0,487.8509742305924,33792.60262514613,22964.013795578678,4306.650317833585,0.0
77.0,486.22180560958935,33686.88327473208,22881.57881602372,4299.644140086202,0.0
78.0,484.73568780357033,33581.163924318025,22799.73133646876,4296.167360504002,0.0
79.0,483.3599879231552,33475.444573903966,22718.474834319295,4293.22312534667,0.0
80.0,482.0291363422838,33369.72522348991,22667.188736859593,4285.367960764091,0.0
81.0,480.72148320433877,33264.00587307586,22616.515589624265,4277.668648235529,0.0
82.0,479.4138300663937,33159.2865226618,22566.40789262841,4266.087762425916,0.0
83.0,478.1061769284487,33055.58652991547,22517.446774963708,4248.973108309858,0.0
84.0,476.7985237905037,32961.5736047376,22460.57906811218,4236.073653360865,0.0
85.0,475.4908706525587,32868.78751164516,22454.27837644854,4209.963855715292,0.0
86.0,474.1832175146137,32776.178937397475,22415.008720059468,4194.092754957448,0.0
87.0,472.8898500909543,32683.739467974923,22318.619284344706,4191.318462854463,0.0
88.0,471.61572248218505,32582.13880482973,22228.278929031218,4188.945643158071,0.0
