"tick","IdSupplier","IdClient","LocationX","LocationY","Size"
4.0,12,63,66.64386300017726,29.695417681845075,1.0
4.0,52,33,60.86621342865371,40.03849504576007,1.0
5.0,12,63,73.69751209005318,28.086363142165283,1.0
5.0,52,33,64.63548072800164,38.468511220583565,1.0
6.0,12,63,80.7511611799291,26.47730860248549,1.0
6.0,52,33,68.40474802734957,36.89852739540706,1.0
8.0,17,52,47.52792780083086,14.116742690791561,5.0
8.0,11,26,62.55917780083086,30.379242690791564,5.0
8.0,10,57,59.65682618215828,24.5673079510706,5.0
8.0,16,27,55.075,17.5,5.0
9.0,17,52,50.67620096818991,24.04736159978453,5.0
9.0,11,26,68.5980759681899,28.028611599784533,5.0
9.0,10,57,63.27709800062351,21.540064576962767,5.0
9.0,16,27,64.5125,20.25,5.0
10.0,17,52,53.82447413554896,33.9779805087775,5.0
10.0,11,26,74.63697413554895,25.6779805087775,5.0
10.0,10,57,66.89736981908874,18.512821202854933,5.0
10.0,16,27,73.95,23.0,5.0
11.0,57,20,64.03631611208563,12.178405241350985,1.2839218385890718
11.0,26,54,72.79864788083513,28.762294958492067,1.4210835768255912
11.0,52,33,60.86621342865371,40.03849504576007,1.299305919376214
12.0,8,10,34.09375,26.8,25.0
12.0,57,20,64.03631611208563,12.178405241350985,1.3167852331179288
12.0,6,16,30.625,26.1,25.0
12.0,57,20,59.238590143939554,8.917887522836253,1.2839218385890718
12.0,9,17,30.625,21.1,25.0
12.0,26,54,67.24077722366758,32.899644393925556,1.4210835768255912
12.0,52,33,64.63548072800164,38.468511220583565,1.299305919376214
12.0,26,54,72.79864788083513,28.762294958492067,1.4698231728482496
12.0,7,11,34.09375,23.4,25.0
12.0,52,33,60.86621342865371,40.03849504576007,1.3363875962861462
13.0,52,33,60.86621342865371,40.03849504576007,1.371615189350582
13.0,52,33,68.40474802734957,36.89852739540706,1.299305919376214
13.0,26,54,67.24077722366758,32.899644393925556,1.4698231728482496
13.0,8,10,41.671875,27.3,25.0
13.0,57,20,59.238590143939554,8.917887522836253,1.3167852331179288
13.0,6,16,35.3125,21.85,25.0
13.0,57,20,54.44086417579348,5.657369804321521,1.2839218385890718
13.0,57,20,64.03631611208563,12.178405241350985,1.348005457920343
13.0,9,17,35.3125,14.350000000000001,25.0
13.0,26,54,61.682906566500016,37.03699382935905,1.4210835768255912
13.0,7,11,41.671875,26.9,25.0
13.0,52,33,64.63548072800164,38.468511220583565,1.3363875962861462
13.0,26,54,72.79864788083513,28.762294958492067,1.516125789069775
14.0,52,33,64.63548072800164,38.468511220583565,1.371615189350582
14.0,26,54,61.682906566500016,37.03699382935905,1.4698231728482496
14.0,8,10,49.25,27.8,25.0
14.0,57,20,54.44086417579348,5.657369804321521,1.3167852331179288
14.0,6,16,40.0,17.6,25.0
14.0,57,20,59.238590143939554,8.917887522836253,1.348005457920343
14.0,9,17,40.0,7.600000000000001,25.0
14.0,7,11,49.25,30.4,25.0
14.0,49,44,81.53256886369059,26.708570148959016,1.0
14.0,52,33,68.40474802734957,36.89852739540706,1.3363875962861462
14.0,26,54,67.24077722366758,32.899644393925556,1.516125789069775
15.0,16,27,55.075,17.5,5.8206893040521495
15.0,52,33,68.40474802734957,36.89852739540706,1.371615189350582
15.0,17,52,47.52792780083086,14.116742690791561,5.0
15.0,11,26,62.55917780083086,30.379242690791564,5.797103673875347
15.0,57,20,54.44086417579348,5.657369804321521,1.348005457920343
15.0,10,57,59.65682618215828,24.5673079510706,5.157374491810409
15.0,49,44,80.78211261247615,20.7960191659456,1.0
15.0,26,54,61.682906566500016,37.03699382935905,1.516125789069775
16.0,1,7,16.25,31.1,5.0
16.0,11,26,62.55917780083086,30.379242690791564,5.9156211379170776
16.0,16,27,64.5125,20.25,5.8206893040521495
16.0,0,9,16.25,36.9,5.0
16.0,10,57,59.65682618215828,24.5673079510706,5.175590279785173
16.0,17,52,50.67620096818991,24.04736159978453,5.0
16.0,11,26,68.5980759681899,28.028611599784533,5.797103673875347
16.0,3,3,9.7,28.2,0.25
16.0,2,8,16.25,35.300000000000004,5.0
16.0,0,0,9.7,40.2,0.25
16.0,3,6,16.25,29.099999999999998,5.0
16.0,2,2,9.7,39.2,0.25
16.0,17,52,47.52792780083086,14.116742690791561,5.09119921615156
16.0,10,57,63.27709800062351,21.540064576962767,5.157374491810409
16.0,49,44,80.03165636126172,14.883468182932187,1.0
16.0,1,1,9.7,36.2,0.25
16.0,16,27,55.075,17.5,5.919535776183576
17.0,1,7,19.375,26.85,5.0
17.0,11,26,68.5980759681899,28.028611599784533,5.9156211379170776
