"tick","Id","LocationX","LocationY","Money"
1.0,58,91,20,0.0
1.0,14,54,28,0.0
1.0,6,25,30,39915.936451615766
1.0,2,12,22,498.9254111598537
1.0,57,82,41,0.0
1.0,19,48,9,5588.2360832017475
1.0,3,12,18,498.9323269233981
1.0,38,79,27,5588.208399956431
1.0,22,86,18,5588.205198840108
1.0,47,61,46,0.0
1.0,48,93,33,5588.035172263859
1.0,11,43,34,23449.965547446183
1.0,15,50,35,0.0
1.0,16,43,13,23449.80897805087
1.0,34,69,20,5588.04368974546
1.0,55,70,45,0.0
1.0,17,43,7,23450.442655729865
1.0,37,63,19,0.0
1.0,18,47,8,5588.15713416704
1.0,46,58,43,0.0
1.0,53,68,44,5588.0327596769575
1.0,54,69,40,0.0
1.0,49,91,31,5588.083413034733
1.0,9,25,24,39914.48031988088
1.0,25,84,15,0.0
1.0,29,86,27,0.0
1.0,56,88,41,0.0
1.0,21,50,2,0.0
1.0,52,68,41,5588.182156466562
1.0,41,80,24,0.0
1.0,43,83,4,5588.114983823001
1.0,20,52,11,0.0
1.0,33,78,35,0.0
1.0,45,79,7,0.0
1.0,7,25,32,39914.521606074646
1.0,40,81,26,0.0
1.0,31,76,36,5587.9752390807025
1.0,44,86,2,0.0
1.0,1,12,39,498.93247243989606
1.0,26,86,23,5588.123040362811
1.0,13,49,28,5588.001192330466
1.0,50,88,30,0.0
1.0,12,50,28,5587.9834670624605
1.0,10,43,27,23450.115066504117
1.0,30,75,37,5588.070105514937
1.0,39,77,26,5588.198402744662
1.0,24,89,17,0.0
1.0,28,89,23,0.0
1.0,35,65,21,5588.149961291077
1.0,23,86,16,5588.214879691713
1.0,4,12,11,498.9477901437029
1.0,36,71,20,0.0
1.0,59,99,21,0.0
1.0,42,82,4,5588.204386246605
1.0,27,88,24,5587.983453108771
1.0,51,92,29,0.0
1.0,8,25,20,39914.69649769226
1.0,32,78,39,0.0
1.0,5,12,24,498.94781938862286
1.0,0,12,23,498.92732262933276
2.0,58,91,20,0.0
2.0,14,54,28,0.0
2.0,6,25,30,39831.87290323153
2.0,2,12,22,497.8508223197074
2.0,57,82,41,0.0
2.0,19,48,9,5576.472166403495
2.0,3,12,18,497.86465384679616
2.0,38,79,27,5576.416799912862
2.0,22,86,18,5576.410397680216
2.0,47,61,46,0.0
2.0,48,93,33,5576.070344527718
2.0,11,43,34,23399.931094892367
2.0,15,50,35,0.0
2.0,16,43,13,23399.61795610174
2.0,34,69,20,5576.08737949092
2.0,55,70,45,0.0
2.0,17,43,7,23400.88531145973
2.0,37,63,19,0.0
2.0,18,47,8,5576.314268334079
2.0,46,58,43,0.0
2.0,53,68,44,5576.065519353915
2.0,54,69,40,0.0
2.0,49,91,31,5576.166826069466
