"tick","Money avg. 1 Producers","Money avg. 2 Internationals","Money avg. 3 Wholesalers","Money avg. 4 Retailers","Money avg. 5 Consumers"
1.0,498.9355237808011,39914.90871881589,23450.083061932757,5588.110155930506,0.0
2.0,497.87104756160215,39829.81743763178,23400.166123865518,5576.2203118610105,0.0
3.0,496.8065713424032,39744.726156447665,23350.249185798275,5564.330467791516,0.0
4.0,495.7420951232042,39659.63487526355,23300.332247731036,5552.44062372202,0.0
5.0,494.67761890400527,39574.54359407944,23250.415309663793,5540.606779652525,0.0
6.0,493.61314268480635,39489.45231289533,23200.498371596554,5528.772935583031,0.0
7.0,492.54866646560737,39404.36103171122,23150.581433529314,5528.139091513537,0.0
8.0,491.48419024640845,39319.269750527106,23100.66449546207,5516.305247444041,0.0
9.0,490.4197140272096,39234.178469342995,23052.9017240615,5504.471403374546,0.0
10.0,489.3552378080106,39149.08718815888,23005.386622061793,5492.637559305052,0.0
11.0,488.2907615888116,39063.99590697477,23427.871520062086,5386.803715235557,0.0
12.0,487.2262853696127,38978.90462579066,23454.65723832263,5359.688749870227,0.0
13.0,486.1618091504138,38895.81334460655,23407.142136322927,5347.487657850848,0.0
14.0,485.0973329312148,38812.722063422436,23359.62703432322,5367.014408089899,0.0
15.0,484.03285671201587,39129.630782238324,22912.111932323518,5388.227395224566,0.0
16.0,482.96838049281695,39046.53950105421,22858.721830323808,5410.192039755761,0.0
17.0,481.928904273618,38963.4482198701,22805.919228324103,5431.228352977856,0.0
18.0,480.889428054419,38880.35693868599,22754.107429879165,5429.494318205057,0.0
19.0,484.8062018352202,38789.76565750188,22813.305432070527,5405.972558064403,0.0
20.0,483.6364131160212,38706.07437631776,22985.716141489138,5349.56390352451,0.0
21.0,482.3594446456751,38622.38309513365,23163.472792226283,5292.014686917548,0.0
22.0,480.9581652225846,38538.69181394953,23347.426576804275,5233.025375067041,0.0
23.0,479.44224358265706,38455.00053276542,23537.355214995383,5172.635390048702,0.0
24.0,477.7970494808897,38371.309251581304,23612.49233992627,5134.901113411367,0.0
25.0,478.6269716547412,38283.669395799065,23690.853734603894,5096.365486843252,0.0
26.0,478.030669686851,38197.40023137714,23643.029731263716,5082.9343402812165,0.0
27.0,478.0399729231793,38109.720587234995,23595.205727923538,5069.5311937191855,0.0
28.0,477.03151459847686,38022.84255687313,23547.381724583363,5064.447799349149,0.0
29.0,481.50247472254193,37927.1067683801,23499.55772124319,5056.644652787117,0.0
30.0,481.49619606799524,37839.63971368584,23451.73371790301,5043.241506225084,0.0
31.0,481.63090386422226,37751.01892146874,23403.909714562833,5029.8383596630465,0.0
32.0,482.0047156715243,37928.37014305949,23088.745854819634,5016.435213101015,0.0
33.0,482.6928432391825,37837.85933291952,23031.8129392572,5003.032066538982,0.0
34.0,483.40360667716857,37748.382563105566,22975.558973849256,4989.628919976945,0.0
35.0,485.2083184739158,37699.047391711865,22986.136425520468,4954.38804777336,0.0
36.0,486.84960254837586,37696.70288706482,22947.522813825424,4918.875353222889,0.0
37.0,487.3083707877191,37603.30943536097,22995.641012232467,4883.092059936148,0.0
38.0,488.94665986047306,37506.840701989844,23122.60281209583,4841.988376213896,0.0
39.0,490.3439651299676,37409.09915205894,23237.580307316035,4803.665686972302,0.0
40.0,491.0324789788886,37310.723194025326,23356.086043639105,4764.957644437048,0.0
41.0,492.52189337518803,37209.65336381337,23383.26808388075,4753.175406534239,0.0
42.0,490.08602919850256,37112.746034626514,23412.55826571315,4741.172831917058,0.0
43.0,488.81593255844246,37013.873135405134,23443.87869180742,4728.913414974561,0.0
44.0,486.7004321302427,36915.84210986054,23384.568820357075,4734.819857607757,0.0
45.0,486.04783992816374,36816.81153123411,23325.258948906732,4729.950245461592,0.0
46.0,485.1892355483821,36717.783090696896,23265.949077456386,4725.279138105494,0.0
47.0,484.5998488013181,36740.22950802211,23085.2523587586,4720.547619794247,0.0
48.0,484.2308562565155,36641.227184554846,23024.359901245763,4705.869080977352,0.0
49.0,483.9895324172867,36541.46941265581,23044.203328436735,4675.31841084921,0.0
50.0,483.0224659278867,36506.91122399798,23129.67381468528,4619.356582213097,0.0
51.0,482.7379284527215,36408.7536951096,23277.18916670319,4562.5733269320945,0.0
52.0,482.62619202032806,36355.83759844787,23384.305752514567,4512.791205933387,0.0
53.0,482.93715577032907,36260.88649422204,23424.15217059714,4492.89070253252,0.0
54.0,483.4913022656277,36188.531757398334,23443.51662940236,4473.319481116233,0.0
55.0,485.96985969102604,36127.39709452601,23489.95838159305,4451.859170064114,0.0
