"tick","Id","LocationX","LocationY","Money"
1.0,36,70,17,0.0
1.0,29,86,27,0.0
1.0,10,43,28,23450.115066504117
1.0,3,12,27,498.9323269233981
1.0,41,81,26,0.0
1.0,8,25,24,39914.69649769226
1.0,56,83,47,0.0
1.0,54,71,43,0.0
1.0,11,43,33,23449.965547446183
1.0,21,46,11,0.0
1.0,26,85,25,5588.123040362811
1.0,32,74,38,0.0
1.0,48,92,31,5588.035172263859
1.0,5,12,12,498.94781938862286
1.0,14,45,29,0.0
1.0,30,76,36,5588.070105514937
1.0,40,74,30,0.0
1.0,7,25,29,39914.521606074646
1.0,16,43,14,23449.80897805087
1.0,38,77,29,5588.208399956431
1.0,20,52,11,0.0
1.0,9,25,30,39914.48031988088
1.0,1,12,30,498.93247243989606
1.0,31,75,37,5587.9752390807025
1.0,37,68,24,0.0
1.0,2,12,32,498.9254111598537
1.0,24,89,17,0.0
1.0,35,65,20,5588.149961291077
1.0,25,84,16,0.0
1.0,52,70,43,5588.182156466562
1.0,39,77,26,5588.198402744662
1.0,51,95,31,0.0
1.0,15,52,34,0.0
1.0,12,48,32,5587.9834670624605
1.0,53,67,42,5588.0327596769575
1.0,4,12,18,498.9477901437029
1.0,18,52,7,5588.15713416704
1.0,50,88,30,0.0
1.0,28,87,27,0.0
1.0,55,67,40,0.0
1.0,17,43,11,23450.442655729865
1.0,59,93,17,0.0
1.0,58,92,18,0.0
1.0,42,82,4,5588.204386246605
1.0,49,93,33,5588.083413034733
1.0,44,80,3,0.0
1.0,46,59,42,0.0
1.0,33,75,35,0.0
1.0,19,48,9,5588.2360832017475
1.0,47,58,44,0.0
1.0,34,69,19,5588.04368974546
1.0,6,25,27,39915.936451615766
1.0,22,86,16,5588.205198840108
1.0,27,87,23,5587.983453108771
1.0,45,80,9,0.0
1.0,13,50,33,5588.001192330466
1.0,23,86,18,5588.214879691713
1.0,43,84,4,5588.114983823001
1.0,57,83,40,0.0
1.0,0,12,33,498.92732262933276
2.0,36,70,17,0.0
2.0,29,86,27,0.0
2.0,10,43,28,23400.230133008234
2.0,3,12,27,497.86465384679616
2.0,41,81,26,0.0
2.0,8,25,24,39829.39299538452
2.0,56,83,47,0.0
2.0,54,71,43,0.0
2.0,11,43,33,23399.931094892367
2.0,21,46,11,0.0
2.0,26,85,25,5576.246080725621
2.0,32,74,38,0.0
2.0,48,92,31,5576.070344527718
2.0,5,12,12,497.8956387772457
2.0,14,45,29,0.0
2.0,30,76,36,5576.140211029873
2.0,40,74,30,0.0
2.0,7,25,29,39829.04321214929
2.0,16,43,14,23399.61795610174
2.0,38,77,29,5576.416799912862
2.0,20,52,11,0.0
2.0,9,25,30,39828.96063976176
2.0,1,12,30,497.8649448797921
2.0,31,75,37,5575.950478161405
2.0,37,68,24,0.0
2.0,2,12,32,497.8508223197074
2.0,24,89,17,0.0
2.0,35,65,20,5576.299922582153
2.0,25,84,16,0.0
2.0,52,70,43,5576.364312933125
2.0,39,77,26,5576.396805489325
2.0,51,95,31,0.0
2.0,15,52,34,0.0
2.0,12,48,32,5575.966934124921
2.0,53,67,42,5576.065519353915
2.0,4,12,18,497.8955802874058
2.0,18,52,7,5576.314268334079
2.0,50,88,30,0.0
2.0,28,87,27,0.0
2.0,55,67,40,0.0
2.0,17,43,11,23400.88531145973
2.0,59,93,17,0.0
2.0,58,92,18,0.0
2.0,42,82,4,5576.408772493211
2.0,49,93,33,5576.166826069466
2.0,44,80,3,0.0
2.0,46,59,42,0.0
2.0,33,75,35,0.0
2.0,19,48,9,5576.472166403495
2.0,47,58,44,0.0
2.0,34,69,19,5576.08737949092
2.0,6,25,27,39831.87290323153
2.0,22,86,16,5576.410397680216
2.0,27,87,23,5575.966906217542
2.0,45,80,9,0.0
2.0,13,50,33,5576.002384660933
2.0,23,86,18,5576.429759383425
2.0,43,84,4,5576.2299676460025
2.0,57,83,40,0.0
2.0,0,12,33,497.8546452586655
3.0,36,70,17,0.0
3.0,29,86,27,0.0
3.0,10,43,28,23350.34519951235
3.0,3,12,27,496.79698077019424
3.0,41,81,26,0.0
3.0,8,25,24,39744.08949307678
3.0,56,83,47,0.0
3.0,54,71,43,0.0
3.0,11,43,33,23349.89664233855
3.0,21,46,11,0.0
3.0,26,85,25,5564.369121088432
3.0,32,74,38,0.0
3.0,48,92,31,5564.1055167915765
3.0,5,12,12,496.8434581658686
3.0,14,45,29,0.0
3.0,30,76,36,5564.21031654481
3.0,40,74,30,0.0
3.0,7,25,29,39743.56481822394
3.0,16,43,14,23349.426934152612
3.0,38,77,29,5564.625199869293
3.0,20,52,11,0.0
3.0,9,25,30,39743.44095964264
3.0,1,12,30,496.7974173196882
3.0,31,75,37,5563.925717242108
3.0,37,68,24,0.0
3.0,2,12,32,496.7762334795611
3.0,24,89,17,0.0
3.0,35,65,20,5564.44988387323
3.0,25,84,16,0.0
3.0,52,70,43,5564.546469399687
3.0,39,77,26,5564.595208233987
3.0,51,95,31,0.0
3.0,15,52,34,0.0
3.0,12,48,32,5563.950401187381
3.0,53,67,42,5564.098279030873
3.0,4,12,18,496.84337043110867
3.0,18,52,7,5564.471402501119
3.0,50,88,30,0.0
3.0,28,87,27,0.0
3.0,55,67,40,0.0
3.0,17,43,11,23351.327967189594
3.0,59,93,17,0.0
3.0,58,92,18,0.0
3.0,42,82,4,5564.613158739816
3.0,49,93,33,5564.250239104199
3.0,44,80,3,0.0
3.0,46,59,42,0.0
3.0,33,75,35,0.0
3.0,19,48,9,5564.708249605243
3.0,47,58,44,0.0
3.0,34,69,19,5564.13106923638
3.0,6,25,27,39747.8093548473
3.0,22,86,16,5564.615596520324
3.0,27,87,23,5563.9503593263125
3.0,45,80,9,0.0
3.0,13,50,33,5564.003576991399
3.0,23,86,18,5564.644639075138
3.0,43,84,4,5564.344951469004
3.0,57,83,40,0.0
3.0,0,12,33,496.7819678879983
4.0,36,70,17,0.0
4.0,29,86,27,0.0
4.0,10,43,28,23300.460266016467
4.0,3,12,27,495.7293076935923
4.0,41,81,26,0.0
4.0,8,25,24,39658.78599076904
4.0,56,83,47,0.0
4.0,54,71,43,0.0
4.0,11,43,33,23299.862189784733
4.0,21,46,11,0.0
4.0,26,85,25,5552.492161451242
4.0,32,74,38,0.0
4.0,48,92,31,5552.140689055435
4.0,5,12,12,495.79127755449144
4.0,14,45,29,0.0
4.0,30,76,36,5552.280422059746
4.0,40,74,30,0.0
4.0,7,25,29,39658.086424298584
4.0,16,43,14,23299.235912203483
4.0,38,77,29,5552.833599825724
4.0,20,52,11,0.0
4.0,9,25,30,39657.92127952352
4.0,1,12,30,495.72988975958424
4.0,31,75,37,5551.90095632281
4.0,37,68,24,0.0
4.0,2,12,32,495.7016446394148
4.0,24,89,17,0.0
4.0,35,65,20,5552.599845164306
4.0,25,84,16,0.0
4.0,52,70,43,5552.72862586625
4.0,39,77,26,5552.79361097865
4.0,51,95,31,0.0
4.0,15,52,34,0.0
4.0,12,48,32,5551.933868249842
4.0,53,67,42,5552.13103870783
4.0,4,12,18,495.79116057481156
4.0,18,52,7,5552.628536668159
4.0,50,88,30,0.0
4.0,28,87,27,0.0
4.0,55,67,40,0.0
4.0,17,43,11,23301.77062291946
4.0,59,93,17,0.0
4.0,58,92,18,0.0
4.0,42,82,4,5552.817544986421
4.0,49,93,33,5552.333652138932
4.0,44,80,3,0.0
4.0,46,59,42,0.0
4.0,33,75,35,0.0
4.0,19,48,9,5552.94433280699
4.0,47,58,44,0.0
4.0,34,69,19,5552.174758981841
4.0,6,25,27,39663.74580646306
4.0,22,86,16,5552.820795360432
4.0,27,87,23,5551.933812435083
4.0,45,80,9,0.0
4.0,13,50,33,5552.004769321866
4.0,23,86,18,5552.859518766851
4.0,43,84,4,5552.459935292005
4.0,57,83,40,0.0
4.0,0,12,33,495.70929051733106
5.0,36,70,17,0.0
5.0,29,86,27,0.0
5.0,10,43,28,23250.575332520584
5.0,3,12,27,494.6616346169904
5.0,41,81,26,0.0
5.0,8,25,24,39573.482488461304
5.0,56,83,47,0.0
5.0,54,71,43,0.0
5.0,11,43,33,23249.827737230917
5.0,21,46,11,0.0
5.0,26,85,25,5540.615201814053
5.0,32,74,38,0.0
5.0,48,92,31,5540.175861319294
5.0,5,12,12,494.7390969431143
5.0,14,45,29,0.0
5.0,30,76,36,5540.350527574683
5.0,40,74,30,0.0
5.0,7,25,29,39572.60803037323
5.0,16,43,14,23249.044890254354
5.0,38,77,29,5541.0419997821555
5.0,20,52,11,0.0
5.0,9,25,30,39572.4015994044
5.0,1,12,30,494.6623621994803
5.0,31,75,37,5539.876195403513
5.0,37,68,24,0.0
5.0,2,12,32,494.6270557992685
5.0,24,89,17,0.0
5.0,35,65,20,5540.749806455383
5.0,25,84,16,0.0
5.0,52,70,43,5540.910782332812
5.0,39,77,26,5540.992013723312
5.0,51,95,31,0.0
5.0,15,52,34,0.0
5.0,12,48,32,5540.477335312302
5.0,53,67,42,5540.163798384788
5.0,4,12,18,494.73895071851445
5.0,18,52,7,5540.785670835198
5.0,50,88,30,0.0
5.0,28,87,27,0.0
5.0,55,67,40,0.0
5.0,17,43,11,23252.213278649324
5.0,59,93,17,0.0
5.0,58,92,18,0.0
5.0,42,82,4,5541.021931233026
5.0,49,93,33,5540.417065173665
5.0,44,80,3,0.0
5.0,46,59,42,0.0
5.0,33,75,35,0.0
5.0,19,48,9,5541.180416008738
5.0,47,58,44,0.0
5.0,34,69,19,5540.218448727301
5.0,6,25,27,39579.68225807883
5.0,22,86,16,5541.0259942005405
5.0,27,87,23,5539.917265543854
5.0,45,80,9,0.0
5.0,13,50,33,5540.005961652332
5.0,23,86,18,5541.634398458563
5.0,43,84,4,5540.574919115006
5.0,57,83,40,0.0
5.0,0,12,33,494.6366131466638
6.0,36,70,17,0.0
6.0,29,86,27,0.0
6.0,10,43,28,23200.6903990247
6.0,3,12,27,493.5939615403885
6.0,41,81,26,0.0
6.0,8,25,24,39488.178986153565
6.0,56,83,47,0.0
6.0,54,71,43,0.0
6.0,11,43,33,23199.7932846771
6.0,21,46,11,0.0
6.0,26,85,25,5528.738242176863
6.0,32,74,38,0.0
6.0,48,92,31,5528.211033583153
6.0,5,12,12,493.68691633173717
6.0,14,45,29,0.0
6.0,30,76,36,5528.4206330896195
6.0,40,74,30,0.0
6.0,7,25,29,39487.12963644788
6.0,16,43,14,23198.853868305225
6.0,38,77,29,5529.250399738587
6.0,20,52,11,0.0
6.0,9,25,30,39486.88191928528
6.0,1,12,30,493.59483463937636
6.0,31,75,37,5527.851434484215
6.0,37,68,24,0.0
6.0,2,12,32,493.55246695912217
6.0,24,89,17,0.0
6.0,35,65,20,5528.8997677464595
6.0,25,84,16,0.0
6.0,52,70,43,5529.092938799375
6.0,39,77,26,5529.1904164679745
6.0,51,95,31,0.0
6.0,15,52,34,0.0
6.0,12,48,32,5529.020802374762
6.0,53,67,42,5528.196558061745
6.0,4,12,18,493.68674086221733
6.0,18,52,7,5528.942805002238
6.0,50,88,30,0.0
6.0,28,87,27,0.0
6.0,55,67,40,0.0
6.0,17,43,11,23202.65593437919
6.0,59,93,17,0.0
6.0,58,92,18,0.0
6.0,42,82,4,5529.226317479632
6.0,49,93,33,5528.500478208398
6.0,44,80,3,0.0
6.0,46,59,42,0.0
6.0,33,75,35,0.0
6.0,19,48,9,5529.416499210485
6.0,47,58,44,0.0
6.0,34,69,19,5528.262138472761
6.0,6,25,27,39495.618709694594
6.0,22,86,16,5529.231193040649
6.0,27,87,23,5527.900718652625
6.0,45,80,9,0.0
6.0,13,50,33,5528.007153982799
6.0,23,86,18,5530.409278150275
6.0,43,84,4,5528.689902938007
6.0,57,83,40,0.0
6.0,0,12,33,493.5639357759966
7.0,36,70,17,0.0
7.0,29,86,27,0.0
7.0,10,43,28,23150.805465528818
7.0,3,12,27,492.52628846378656
7.0,41,81,26,0.0
7.0,8,25,24,39402.875483845826
7.0,56,83,47,0.0
7.0,54,71,43,0.0
7.0,11,43,33,23149.758832123283
7.0,21,46,11,0.0
7.0,26,85,25,5516.861282539674
7.0,32,74,38,0.0
7.0,48,92,31,5516.246205847012
