"tick","IdClient","IdSupplier","LocationX","LocationY","Size"
1.0,33,52,68.40474802734956,36.49852739540706,1.0
1.0,44,27,79.84503308823216,12.762741917217165,1.0
1.0,54,26,61.682906566500016,36.63699382935904,1.0
1.0,20,57,54.44086417579348,5.257369804321517,1.0
1.0,63,12,80.75116117992911,26.077308602485495,1.0
2.0,33,52,64.63548072800162,38.06851122058357,1.0
2.0,20,57,54.44086417579348,5.257369804321517,1.047059486458311
2.0,63,12,80.75116117992911,26.077308602485495,1.0641493512841407
2.0,44,27,80.36221024815961,16.5243850680868,1.0
2.0,54,26,67.24077722366758,32.49964439392555,1.0
2.0,44,27,79.84503308823216,12.762741917217165,1.0262458048202097
2.0,20,57,59.238590143939554,8.51788752283625,1.0
2.0,63,12,73.6975120900532,27.686363142165288,1.0
2.0,54,26,61.682906566500016,36.63699382935904,1.069793774863938
2.0,33,52,68.40474802734956,36.49852739540706,1.052046972878743
3.0,33,52,60.8662134286537,39.638495045760074,1.0
3.0,63,12,73.6975120900532,27.686363142165288,1.0641493512841407
3.0,44,27,80.87938740808707,20.28602821895644,1.0
3.0,44,27,79.84503308823216,12.762741917217165,1.0511793193994088
3.0,54,26,61.682906566500016,36.63699382935904,1.1360978609846788
3.0,63,12,80.75116117992911,26.077308602485495,1.1250912350040743
3.0,44,27,80.36221024815961,16.5243850680868,1.0262458048202097
3.0,63,12,66.64386300017728,29.29541768184508,1.0
3.0,54,26,67.24077722366758,32.49964439392555,1.069793774863938
3.0,33,52,64.63548072800162,38.06851122058357,1.052046972878743
3.0,20,57,59.238590143939554,8.51788752283625,1.047059486458311
3.0,54,26,72.79864788083513,28.36229495849206,1.0
3.0,20,57,54.44086417579348,5.257369804321517,1.091765998593706
3.0,20,57,64.03631611208563,11.778405241350985,1.0
3.0,33,52,68.40474802734956,36.49852739540706,1.1014915971135486
4.0,63,12,80.75116117992911,26.077308602485495,1.1829860245380113
4.0,63,12,66.64386300017728,29.29541768184508,1.0641493512841407
4.0,44,27,80.36221024815961,16.5243850680868,1.0511793193994088
4.0,54,26,67.24077722366758,32.49964439392555,1.1360978609846788
4.0,63,12,73.6975120900532,27.686363142165288,1.1250912350040743
4.0,33,52,68.40474802734956,36.49852739540706,1.148463990136614
4.0,44,27,80.87938740808707,20.28602821895644,1.0262458048202097
4.0,54,26,72.79864788083513,28.36229495849206,1.069793774863938
4.0,33,52,60.8662134286537,39.638495045760074,1.052046972878743
4.0,20,57,64.03631611208563,11.778405241350985,1.047059486458311
4.0,54,26,61.682906566500016,36.63699382935904,1.1990867427993828
4.0,20,57,59.238590143939554,8.51788752283625,1.091765998593706
4.0,20,57,54.44086417579348,5.257369804321517,1.1342371851223314
4.0,33,52,64.63548072800162,38.06851122058357,1.1014915971135486
4.0,44,27,79.84503308823216,12.762741917217165,1.0748661582496482
5.0,63,12,73.6975120900532,27.686363142165288,1.1829860245380113
5.0,52,17,53.824474135548954,33.5779805087775,5.0
5.0,57,10,66.89736981908874,18.11282120285493,10.0
5.0,44,27,80.87938740808707,20.28602821895644,1.0511793193994088
5.0,27,16,73.95,22.6,10.0
5.0,54,26,72.79864788083513,28.36229495849206,1.1360978609846788
5.0,20,57,54.44086417579348,5.257369804321517,1.1745848123245257
5.0,63,12,66.64386300017728,29.29541768184508,1.1250912350040743
5.0,33,52,64.63548072800162,38.06851122058357,1.148463990136614
5.0,44,27,79.84503308823216,12.762741917217165,1.0973686551573754
5.0,26,11,74.63697413554897,25.277980508777503,10.0
5.0,54,26,67.24077722366758,32.49964439392555,1.1990867427993828
5.0,20,57,64.03631611208563,11.778405241350985,1.091765998593706
5.0,63,12,80.75116117992911,26.077308602485495,1.2379860745952513
5.0,20,57,59.238590143939554,8.51788752283625,1.1342371851223314
5.0,33,52,60.8662134286537,39.638495045760074,1.1014915971135486
5.0,44,27,80.36221024815961,16.5243850680868,1.0748661582496482
5.0,54,26,61.682906566500016,36.63699382935904,1.2589261805233516
5.0,33,52,68.40474802734956,36.49852739540706,1.1930877635085262
6.0,20,57,54.44086417579348,5.257369804321517,1.2129150581666104
6.0,63,12,66.64386300017728,29.29541768184508,1.1829860245380113
6.0,52,17,50.6762009681899,23.64736159978453,5.0
6.0,57,10,63.27709800062351,21.140064576962768,10.0
6.0,27,16,64.5125,19.85,10.0
6.0,20,57,59.238590143939554,8.51788752283625,1.1745848123245257
6.0,33,52,60.8662134286537,39.638495045760074,1.148463990136614
6.0,44,27,79.84503308823216,12.762741917217165,1.1187460272197163
6.0,44,27,80.36221024815961,16.5243850680868,1.0973686551573754
6.0,54,26,61.682906566500016,36.63699382935904,1.3157736463611218
6.0,26,11,68.59807596818992,27.62861159978453,10.0
6.0,26,11,74.63697413554897,25.277980508777503,10.336039101798203
6.0,52,17,53.824474135548954,33.5779805087775,5.126616749730543
6.0,63,12,80.75116117992911,26.077308602485495,1.2902361221496295
6.0,54,26,72.79864788083513,28.36229495849206,1.1990867427993828
6.0,63,12,73.6975120900532,27.686363142165288,1.2379860745952513
6.0,57,10,66.89736981908874,18.11282120285493,10.294917230059044
6.0,33,52,68.40474802734956,36.49852739540706,1.2354803482118428
6.0,20,57,64.03631611208563,11.778405241350985,1.1342371851223314
6.0,44,27,80.87938740808707,20.28602821895644,1.0748661582496482
6.0,54,26,67.24077722366758,32.49964439392555,1.2589261805233516
6.0,27,16,73.95,22.6,10.264718851816374
6.0,33,52,64.63548072800162,38.06851122058357,1.1930877635085262
7.0,20,57,59.238590143939554,8.51788752283625,1.2129150581666104
7.0,57,10,59.656826182158284,24.167307951070605,10.0
7.0,27,16,55.075,17.1,10.0
7.0,44,27,80.36221024815961,16.5243850680868,1.1187460272197163
7.0,44,27,80.87938740808707,20.28602821895644,1.0973686551573754
7.0,54,26,61.682906566500016,36.63699382935904,1.3697787389070035
7.0,26,11,68.59807596818992,27.62861159978453,10.336039101798203
7.0,63,12,80.75116117992911,26.077308602485495,1.3356661522150954
7.0,63,12,66.64386300017728,29.29541768184508,1.2379860745952513
7.0,57,10,63.27709800062351,21.140064576962768,10.294917230059044
7.0,33,52,68.40474802734956,36.49852739540706,1.260272575260496
7.0,52,17,53.824474135548954,33.5779805087775,5.249374893186299
7.0,54,26,72.79864788083513,28.36229495849206,1.2589261805233516
7.0,52,17,47.52792780083085,13.716742690791563,5.0
7.0,20,57,64.03631611208563,11.778405241350985,1.1745848123245257
7.0,44,27,79.84503308823216,12.762741917217165,1.1390545306789401
7.0,54,26,67.24077722366758,32.49964439392555,1.3157736463611218
7.0,27,16,73.95,22.6,10.518695112499849
7.0,26,11,62.55917780083087,29.97924269079156,10.0
7.0,52,17,50.6762009681899,23.64736159978453,5.126616749730543
7.0,63,12,73.6975120900532,27.686363142165288,1.2902361221496295
7.0,26,11,74.63697413554897,25.277980508777503,10.661906657118571
7.0,57,10,66.89736981908874,18.11282120285493,10.579559249828675
7.0,33,52,64.63548072800162,38.06851122058357,1.2354803482118428
7.0,20,57,54.44086417579348,5.257369804321517,1.2493287917165907
7.0,27,16,64.5125,19.85,10.264718851816374
7.0,33,52,60.8662134286537,39.638495045760074,1.1930877635085262
8.0,20,57,64.03631611208563,11.778405241350985,1.2129150581666104
8.0,44,27,80.87938740808707,20.28602821895644,1.1187460272197163
8.0,54,26,67.24077722366758,32.49964439392555,1.3697787389070035
8.0,27,16,73.95,22.6,10.762341244034173
8.0,26,11,62.55917780083087,29.97924269079156,10.336039101798203
8.0,63,12,73.6975120900532,27.686363142165288,1.3356661522150954
8.0,57,10,59.656826182158284,24.167307951070605,10.294917230059044
8.0,33,52,64.63548072800162,38.06851122058357,1.260272575260496
8.0,52,17,50.6762009681899,23.64736159978453,5.249374893186299
8.0,57,10,66.89736981908874,18.11282120285493,10.854216287262688
8.0,63,12,80.75116117992911,26.077308602485495,1.3830321958884813
8.0,52,17,53.824474135548954,33.5779805087775,5.36834374912042
8.0,44,27,80.36221024815961,16.5243850680868,1.1390545306789401
8.0,54,26,72.79864788083513,28.36229495849206,1.3157736463611218
8.0,27,16,64.5125,19.85,10.518695112499849
8.0,52,17,47.52792780083085,13.716742690791563,5.126616749730543
8.0,63,12,66.64386300017728,29.29541768184508,1.2902361221496295
8.0,44,27,79.84503308823216,12.762741917217165,1.1583476089652027
8.0,26,11,68.59807596818992,27.62861159978453,10.661906657118571
8.0,54,26,61.682906566500016,36.63699382935904,1.4210835768255912
8.0,57,10,63.27709800062351,21.140064576962768,10.579559249828675
8.0,33,52,60.8662134286537,39.638495045760074,1.2354803482118428
