%0:0id,1countryName,2SCTypeChar,3x,4y,5money,6sellPrice,7averageBuyCost,8profitPercentage,9maxPackageSize,10securityStockMultiplier,11personalRisk,12personalRiskThreshold,13desperation,14inactivityTimer,15quality
127,South America,P,12.5,17.0,104.6813923869541,1.0,0.350000000000105,0.32499999999999984,100.0,1.3189648555126041,0.39999999999999974,0.5,0.3999999999999999,0,40,0
133,South America,P,12.5,24.0,184.58049499555202,1.0,0.3500000000433873,0.34999999999999987,100.0,1.3208290049806237,0.05,0.5,0.7500000000000002,51,40,0
138,South America,P,12.5,25.0,237.48077321617487,1.0,0.35000000240847556,0.3749999999999999,100.0,1.4106756128603593,0.05,0.5,0.3999999999999999,0,40,0
149,South America,P,12.5,22.0,301.58006563228025,1.0,0.35000063751814514,0.42499999999999993,100.0,1.3292506709694862,0.05,0.5,0.7000000000000002,49,40,0
160,South America,P,12.5,36.0,411.53448430887744,1.0,0.36829587348619275,0.44999999999999996,100.0,1.4616727023385465,0.05,0.5,0.6750000000000002,9,60,0
165,South America,P,12.5,14.0,477.8322560532294,1.0,0.6828,0.5,100.0,1.0758298250148073,0.05,0.5,0.3999999999999999,0,40,0
166,South America,P,12.5,34.0,496.84322733108417,1.0,1.0,0.5,100.0,1.0451511261053383,0.05,0.5,0.5750000000000001,3,60,0
136,ES & P,W,43.75,4.0,12095.61656118997,47.0,1.345862016855916,0.44999999999999996,100.0,1.335103394696489,0.1,0.5,0.9750000000000004,17,0,0
144,NL & B,W,55.3125,30.0,11343.553029484254,47.0,20.488351749148844,0.2999999999999998,100.0,1.3898191736079752,0.05,0.5,0.5,0,0,0
162,NL & B,W,55.3125,32.0,20332.957928810458,47.0,47.0,0.42499999999999993,100.0,1.410461217397824,0.15000000000000002,0.5,0.6500000000000001,7,0,0
102,Czech Republic,R,79.4680926694362,26.40252436402812,4840.8778402017,56.0,47.244453389742525,0.525,20.0,1.4535841452889144,0.5499999999999994,0.5,0.5,0,0,0
164,ES & P,R,49.11348778239366,10.150040606713537,5241.350007799412,56.0,56.0,0.5,20.0,1.3611603660974652,0.1,0.5,0.7500000000000002,11,0,0
123,France,C,65.625,20.625,0.0,0.0,38.730620035212,0.44999999999999996,0.0,1.3078044006833807,0.0,0.5,0.5,0,40,102.72907108184882
132,Switzerland,C,69.0044677554867,18.239367974722384,0.0,0.0,28.423256937938127,0.2249999999999998,0.0,1.2877158815972507,0.0,0.5,0.525,0,40,83.296706906287
140,Austria,C,78.48848778239366,15.162459393286463,0.0,0.0,33.2147278509909,0.32499999999999984,0.0,1.304644626332447,0.05,0.5,0.34999999999999987,0,40,139.56178322224878
142,North Europe,C,74.24123273029579,42.79273734284977,0.0,0.0,9.86951170512668,0.5,0.0,1.2041765922913328,0.05,0.5,0.32499999999999984,0,40,67.14794512907974
145,Denmark,C,69.11348778239366,39.83754060671354,0.0,0.0,18.89133567233461,0.34999999999999987,0.0,1.1711070642340928,0.0,0.5,0.55,0,40,82.7081120563671
156,NL & B,C,57.19308469435837,34.361709968402984,0.0,0.0,25.441647839447576,0.5,0.0,1.377286608563736,0.05,0.5,0.44999999999999996,0,40,92.60900106094778
157,East Europe,C,88.2946467210213,25.220835496392215,0.0,0.0,34.44792124986492,0.5,0.0,1.216477419133298,0.05,0.5,0.34999999999999987,0,40,114.6834034693893
159,United Kingdom,C,57.23661004076597,40.14687337770584,0.0,0.0,15.529753442660219,0.525,0.0,1.252372898743488,0.0,0.5,0.8750000000000003,0,40,83.14471560250968
163,France,C,61.227683401276614,25.58854437049027,0.0,0.0,54.37763008463443,0.44999999999999996,0.0,1.4436834319494665,0.0,0.5,0.6500000000000001,0,40,102.42369092605077
155,International,I,25.0,29.0,27462.26974470659,16.0,0.7278394899542819,0.3749999999999999,500.0,1.4622116789687425,0.0,0.5,0.6000000000000001,0,0,0
161,International,I,25.0,28.0,33180.26897888351,16.0,16.0,0.42499999999999993,500.0,1.0485525343101472,0.1,0.5,0.5,81,0,0
%1Stock:agent,n,qual1,quan1,qual2,qual2,etc.
127,2,40,2.2502677810881293,60,0.0
133,2,40,10.871551559883327,60,0.0
138,2,40,1.2846720980851347,60,0.0
149,2,40,16.250692710054235,60,0.0
160,2,40,0.0,60,30.160647272364763
165,1,40,2.640932580067777
166,1,60,5.225755630526692
136,2,40,3.419487405084258,60,0.0
144,2,40,50.19442503170201,60,21.887243968438167
162,2,40,0.0,60,0.3856394203224536
102,2,40,0.8382722991747862,60,6.453584145288914
164,1,40,0.36116036609746516
123,1,40,23.44346117090634
132,1,40,0.24841421823948606
140,1,40,0.0
142,1,40,0.0
145,1,40,2.9473434599162527
156,1,40,0.0
157,1,40,0.0
159,1,40,20.76152649543236
163,1,40,9.169644628056819
155,2,40,64.03637464380353,60,11.555291974218562
161,1,60,26.21381335775368
%2Relations:agent1,agent2
C,127,155
C,138,155
C,160,155
C,165,155
C,136,102
S,144,161
S,144,155
C,144,102
S,162,161
C,162,102
S,102,144
S,102,162
S,102,136
C,102,145
C,102,163
C,102,132
C,102,123
C,102,156
C,102,157
C,102,142
C,102,159
C,164,123
C,164,140
C,164,159
S,123,164
S,123,102
S,132,102
S,140,164
S,142,102
S,145,102
S,156,102
S,157,102
S,159,164
S,159,102
S,163,102
S,155,160
S,155,165
S,155,138
S,155,127
C,155,144
C,161,144
C,161,162
