"tick","IdSupplier","IdClient","LocationX","LocationY","Size","LargestQuality","Connected"
5.0,22,21,44.6,23.599999999999998,1.3117700582370162,40.0,"false"
6.0,22,21,47.6,25.599999999999998,1.3117700582370162,40.0,"false"
7.0,22,21,50.6,27.599999999999998,1.3117700582370162,40.0,"false"
9.0,10,12,32.6,43.0,6.874640756286681,60.0,"false"
9.0,15,20,32.6,13.1,5.0,40.0,"false"
10.0,10,12,35.6,44.5,6.874640756286681,60.0,"true"
10.0,15,20,35.6,18.85,5.0,40.0,"true"
11.0,10,12,38.6,46.0,6.874640756286681,60.0,"true"
11.0,15,20,38.6,24.6,5.0,40.0,"true"
12.0,12,13,44.6,46.300000000000004,2.3961241445217465,60.0,"true"
13.0,11,16,32.6,32.1,6.072220442001708,40.0,"false"
13.0,12,13,47.6,45.550000000000004,2.3961241445217465,60.0,"true"
14.0,11,16,35.6,22.85,6.072220442001708,40.0,"true"
14.0,20,19,44.6,31.9,5.0,40.0,"true"
14.0,12,13,50.6,44.800000000000004,2.3961241445217465,60.0,"true"
15.0,7,15,20.6,11.8,35.54429886280559,40.0,"false"
15.0,11,16,38.6,13.600000000000001,6.072220442001708,40.0,"true"
15.0,20,19,47.6,34.15,5.0,40.0,"true"
16.0,7,15,23.6,9.8,35.54429886280559,40.0,"true"
16.0,20,19,50.6,36.4,5.0,40.0,"true"
16.0,24,25,44.6,13.2,1.444756766082719,40.0,"false"
17.0,7,15,26.6,7.800000000000001,35.54429886280559,40.0,"true"
17.0,24,25,47.6,13.2,1.444756766082719,40.0,"true"
18.0,16,25,44.6,8.3,6.072220442001708,40.0,"true"
18.0,24,25,50.6,13.2,1.444756766082719,40.0,"true"
19.0,12,13,44.6,46.300000000000004,4.478516611764935,60.0,"true"
19.0,16,25,47.6,10.05,6.072220442001708,40.0,"true"
19.0,15,20,32.6,13.1,10.261161384729002,40.0,"true"
20.0,8,11,20.6,27.8,30.909357566270046,40.0,"false"
20.0,15,20,32.6,13.1,5.257215123875878,40.0,"true"
20.0,12,13,47.6,45.550000000000004,4.478516611764935,60.0,"true"
20.0,16,25,50.6,11.8,6.072220442001708,40.0,"true"
20.0,15,20,35.6,18.85,10.261161384729002,40.0,"true"
21.0,8,11,23.6,33.300000000000004,30.909357566270046,40.0,"true"
21.0,14,24,32.6,6.2,10.326379626683408,40.0,"false"
21.0,15,20,35.6,18.85,5.257215123875878,40.0,"true"
21.0,12,13,50.6,44.800000000000004,4.478516611764935,60.0,"true"
21.0,15,20,38.6,24.6,10.261161384729002,40.0,"true"
22.0,8,11,26.6,38.800000000000004,30.909357566270046,40.0,"true"
22.0,14,24,35.6,8.7,10.326379626683408,40.0,"false"
22.0,15,20,38.6,24.6,5.257215123875878,40.0,"true"
22.0,15,20,32.6,13.1,10.75770274798013,40.0,"true"
23.0,14,24,38.6,11.2,10.326379626683408,40.0,"false"
23.0,15,20,35.6,18.85,10.75770274798013,40.0,"true"
24.0,15,22,32.6,10.7,11.103748174701678,40.0,"true"
24.0,2,2,2.2,32.2,0.25,40.0,"true"
24.0,2,8,8.6,28.900000000000002,5.0,40.0,"true"
24.0,15,20,38.6,24.6,10.75770274798013,40.0,"true"
24.0,11,16,32.6,32.1,21.42681877250766,40.0,"true"
25.0,15,22,35.6,14.45,11.103748174701678,40.0,"true"
25.0,2,2,3.2,32.2,0.25,40.0,"true"
25.0,2,2,2.2,32.2,0.7375,40.0,"true"
25.0,2,8,11.6,26.150000000000002,5.0,40.0,"true"
25.0,24,23,44.6,14.7,10.326379626683408,40.0,"true"
25.0,20,19,44.6,31.9,4.469793840307174,40.0,"true"
25.0,11,16,35.6,22.85,21.42681877250766,40.0,"true"
26.0,15,22,38.6,18.2,11.103748174701678,40.0,"true"
26.0,2,2,4.2,32.2,0.25,40.0,"true"
26.0,2,2,3.2,32.2,0.7375,40.0,"true"
26.0,2,8,14.6,23.400000000000002,5.0,40.0,"true"
26.0,24,23,47.6,15.95,10.326379626683408,40.0,"true"
26.0,20,19,47.6,34.15,4.469793840307174,40.0,"true"
26.0,11,16,38.6,13.600000000000001,21.42681877250766,40.0,"true"
26.0,20,23,44.6,25.9,2.020778186525302,40.0,"true"
26.0,2,2,2.2,32.2,1.3331885736393079,40.0,"true"
27.0,2,2,4.2,32.2,0.7375,40.0,"true"
27.0,24,23,50.6,17.2,10.326379626683408,40.0,"true"
27.0,2,2,2.2,32.2,2.0137376199223516,40.0,"true"
27.0,20,23,44.6,25.9,1.0369785543980736,40.0,"true"
27.0,20,19,50.6,36.4,4.469793840307174,40.0,"true"
27.0,20,23,47.6,23.15,2.020778186525302,40.0,"true"
27.0,2,2,3.2,32.2,1.3331885736393079,40.0,"true"
28.0,2,2,3.2,32.2,2.0137376199223516,40.0,"true"
28.0,2,2,2.2,32.2,2.744517023622311,40.0,"true"
28.0,20,23,47.6,23.15,1.0369785543980736,40.0,"true"
28.0,11,16,32.6,32.1,9.482538793762387,40.0,"true"
28.0,20,23,50.6,20.4,2.020778186525302,40.0,"true"
28.0,2,2,4.2,32.2,1.3331885736393079,40.0,"true"
29.0,2,2,4.2,32.2,2.0137376199223516,40.0,"true"
29.0,20,19,44.6,31.9,5.584115886136666,40.0,"true"
29.0,2,2,3.2,32.2,2.744517023622311,40.0,"true"
29.0,20,23,50.6,20.4,1.0369785543980736,40.0,"true"
29.0,11,16,35.6,22.85,9.482538793762387,40.0,"true"
29.0,2,2,2.2,32.2,3.4875020934978904,40.0,"true"
30.0,22,21,44.6,23.599999999999998,7.666617307917997,40.0,"true"
30.0,2,2,2.2,32.2,4.203221391682193,40.0,"true"
30.0,20,19,47.6,34.15,5.584115886136666,40.0,"true"
30.0,2,2,4.2,32.2,2.744517023622311,40.0,"true"
30.0,16,13,44.6,17.599999999999998,1.0,60.0,"true"
30.0,11,16,38.6,13.600000000000001,9.482538793762387,40.0,"true"
30.0,2,2,3.2,32.2,3.4875020934978904,40.0,"true"
31.0,22,21,47.6,25.599999999999998,7.666617307917997,40.0,"true"
31.0,0,6,8.6,17.5,5.0,60.0,"true"
31.0,0,0,2.2,17.2,0.25,60.0,"true"
31.0,2,2,3.2,32.2,4.203221391682193,40.0,"true"
31.0,20,19,50.6,36.4,5.584115886136666,40.0,"true"
31.0,16,13,47.6,27.099999999999998,1.0,60.0,"true"
31.0,2,8,8.6,28.900000000000002,9.163799526995554,40.0,"true"
31.0,2,2,2.2,32.2,5.226051458414754,40.0,"true"
31.0,2,2,4.2,32.2,3.4875020934978904,40.0,"true"
32.0,22,21,50.6,27.599999999999998,7.666617307917997,40.0,"true"
