"tick","Id","LocationX","LocationY","Money","Connected"
1.0,4,5,18,498.9274258133315,"false"
1.0,19,53,37,75.80031242221594,"true"
1.0,6,17,43,39915.32078057015,"false"
1.0,12,41,44,5588.1989131607115,"false"
1.0,24,41,14,5587.990936210994,"false"
1.0,1,5,41,498.9382880115183,"false"
1.0,13,53,45,249.74897505640982,"true"
1.0,3,5,14,498.9467460887972,"false"
1.0,2,5,7,498.92915143690186,"false"
1.0,18,41,36,5588.011489509139,"false"
1.0,9,17,9,39914.410682532936,"false"
1.0,21,53,28,63.11741903424263,"true"
1.0,16,41,2,5588.043691326836,"false"
1.0,25,53,13,213.3356119543314,"true"
1.0,22,41,18,5588.065408767387,"false"
1.0,17,53,6,85.53971481323242,"true"
1.0,20,41,28,5588.228307704609,"false"
1.0,0,5,15,498.93522658240397,"false"
1.0,15,29,1,23449.787301572815,"false"
1.0,8,17,23,39915.0545027894,"false"
1.0,10,29,45,23449.768918844544,"false"
1.0,7,17,30,39914.31291218195,"false"
1.0,14,29,4,23449.619694704008,"false"
1.0,5,5,5,498.9492845809029,"false"
1.0,23,53,19,232.2397283911705,"true"
1.0,11,29,44,23450.14605639226,"false"
2.0,4,5,18,497.85485162666305,"false"
2.0,19,53,37,151.60062484443188,"true"
2.0,6,17,43,39830.641561140306,"false"
2.0,12,41,44,5576.397826321423,"false"
2.0,24,41,14,5575.981872421988,"false"
2.0,1,5,41,497.8765760230366,"false"
2.0,13,53,45,499.49795011281964,"true"
2.0,3,5,14,497.89349217759445,"false"
2.0,2,5,7,497.8583028738037,"false"
2.0,18,41,36,5576.022979018278,"false"
2.0,9,17,9,39828.82136506587,"false"
2.0,21,53,28,126.23483806848526,"true"
2.0,16,41,2,5576.087382653672,"false"
2.0,25,53,13,426.6712239086628,"true"
2.0,22,41,18,5576.130817534775,"false"
2.0,17,53,6,171.07942962646484,"true"
2.0,20,41,28,5576.456615409217,"false"
2.0,0,5,15,497.87045316480794,"false"
2.0,15,29,1,23399.57460314563,"false"
2.0,8,17,23,39830.10900557879,"false"
2.0,10,29,45,23399.537837689088,"false"
2.0,7,17,30,39828.6258243639,"false"
2.0,14,29,4,23399.239389408016,"false"
2.0,5,5,5,497.89856916180577,"false"
2.0,23,53,19,464.479456782341,"true"
2.0,11,29,44,23400.29211278452,"false"
3.0,4,5,18,496.7822774399946,"false"
3.0,19,53,37,227.40093726664782,"true"
3.0,6,17,43,39745.96234171046,"false"
3.0,12,41,44,5564.596739482135,"false"
3.0,24,41,14,5563.9728086329815,"false"
3.0,1,5,41,496.8148640345549,"false"
3.0,13,53,45,749.2469251692295,"true"
3.0,3,5,14,496.8402382663917,"false"
3.0,2,5,7,496.7874543107056,"false"
3.0,18,41,36,5564.034468527418,"false"
3.0,9,17,9,39743.23204759881,"false"
3.0,21,53,28,189.3522571027279,"true"
3.0,16,41,2,5564.131073980508,"false"
3.0,25,53,13,640.0068358629942,"true"
3.0,22,41,18,5564.196226302162,"false"
3.0,17,53,6,256.61914443969727,"true"
3.0,20,41,28,5564.684923113826,"false"
3.0,0,5,15,496.8056797472119,"false"
3.0,15,29,1,23349.361904718444,"false"
3.0,8,17,23,39745.16350836819,"false"
3.0,10,29,45,23349.30675653363,"false"
3.0,7,17,30,39742.93873654585,"false"
3.0,14,29,4,23348.859084112024,"false"
3.0,5,5,5,496.84785374270865,"false"
3.0,23,53,19,696.7191851735115,"true"
3.0,11,29,44,23350.438169176778,"false"
4.0,4,5,18,495.7097032533261,"false"
4.0,19,53,37,303.20124968886375,"true"
4.0,6,17,43,39661.28312228061,"false"
4.0,12,41,44,5552.795652642846,"false"
4.0,24,41,14,5551.963744843975,"false"
4.0,1,5,41,495.7531520460732,"false"
4.0,13,53,45,998.9959002256393,"true"
4.0,3,5,14,495.7869843551889,"false"
4.0,2,5,7,495.71660574760745,"false"
4.0,18,41,36,5552.045958036557,"false"
4.0,9,17,9,39657.642730131745,"false"
4.0,21,53,28,252.46967613697052,"true"
4.0,16,41,2,5552.1747653073435,"false"
4.0,25,53,13,853.3424478173256,"true"
4.0,22,41,18,5552.26163506955,"false"
4.0,17,53,6,342.1588592529297,"true"
4.0,20,41,28,5552.913230818434,"false"
4.0,0,5,15,495.7409063296159,"false"
4.0,15,29,1,23299.14920629126,"false"
4.0,8,17,23,39660.21801115759,"false"
4.0,10,29,45,23299.075675378175,"false"
4.0,7,17,30,39657.251648727804,"false"
4.0,14,29,4,23298.478778816032,"false"
4.0,5,5,5,495.79713832361153,"false"
4.0,23,53,19,928.958913564682,"true"
4.0,11,29,44,23300.584225569037,"false"
5.0,4,5,18,494.6371290666576,"false"
5.0,19,53,37,379.0015621110797,"true"
5.0,6,17,43,39576.603902850766,"false"
5.0,12,41,44,5541.554565803558,"false"
5.0,24,41,14,5540.514681054969,"true"
5.0,1,5,41,494.6914400575915,"false"
5.0,13,53,45,1248.7448752820492,"true"
5.0,3,5,14,494.73373044398613,"false"
5.0,2,5,7,494.6457571845093,"false"
5.0,18,41,36,5540.057447545696,"true"
5.0,9,17,9,39572.05341266468,"false"
5.0,21,53,28,315.58709517121315,"true"
5.0,16,41,2,5540.218456634179,"false"
5.0,25,53,13,1066.678059771657,"true"
5.0,22,41,18,5540.887043836937,"true"
5.0,17,53,6,427.6985740661621,"true"
5.0,20,41,28,5541.701538523043,"true"
5.0,0,5,15,494.67613291201985,"false"
5.0,15,29,1,23248.936507864073,"false"
5.0,8,17,23,39575.272513946984,"false"
5.0,10,29,45,23248.84459422272,"false"
5.0,7,17,30,39571.564560909756,"false"
5.0,14,29,4,23248.09847352004,"false"
5.0,5,5,5,494.7464229045144,"false"
5.0,23,53,19,1161.1986419558525,"true"
5.0,11,29,44,23250.730281961296,"false"
6.0,4,5,18,493.56455487998915,"false"
6.0,19,53,37,454.80187453329563,"true"
6.0,6,17,43,39491.92468342092,"false"
6.0,12,41,44,5530.31347896427,"false"
6.0,24,41,14,5529.065617265962,"true"
6.0,1,5,41,493.6297280691098,"false"
6.0,13,53,45,1498.493850338459,"true"
6.0,3,5,14,493.68047653278336,"false"
6.0,2,5,7,493.57490862141117,"false"
6.0,18,41,36,5528.068937054835,"true"
6.0,9,17,9,39486.46409519762,"false"
6.0,21,53,28,378.7045142054558,"true"
6.0,16,41,2,5528.262147961015,"false"
6.0,25,53,13,1280.0136717259884,"true"
6.0,22,41,18,5529.512452604324,"true"
6.0,17,53,6,513.2382888793945,"true"
6.0,20,41,28,5530.489846227652,"true"
6.0,0,5,15,493.6113594944238,"false"
6.0,15,29,1,23198.723809436888,"false"
6.0,8,17,23,39490.32701673638,"false"
6.0,10,29,45,23198.613513067263,"false"
6.0,7,17,30,39485.87747309171,"false"
6.0,14,29,4,23197.718168224048,"false"
6.0,5,5,5,493.6957074854173,"false"
6.0,23,53,19,1393.438370347023,"true"
6.0,11,29,44,23200.876338353555,"false"
7.0,4,5,18,492.49198069332067,"false"
7.0,19,53,37,474.60218695551157,"true"
7.0,6,17,43,39407.24546399107,"false"
7.0,12,41,44,5575.072392124982,"false"
7.0,24,41,14,5573.616553476955,"true"
7.0,1,5,41,492.56801608062807,"false"
7.0,13,53,45,1692.2428253948688,"true"
7.0,3,5,14,492.6272226215806,"false"
7.0,2,5,7,492.50406005831303,"false"
7.0,18,41,36,5516.0804265639745,"true"
7.0,9,17,9,39400.874777730554,"false"
7.0,21,53,28,441.8219332396984,"true"
7.0,16,41,2,5516.305839287851,"false"
7.0,25,53,13,1437.3492836803198,"true"
7.0,22,41,18,5574.137861371711,"true"
7.0,17,53,6,542.778003692627,"true"
7.0,20,41,28,5575.278153932261,"true"
7.0,0,5,15,492.5465860768278,"false"
7.0,15,29,1,23148.511111009702,"false"
7.0,8,17,23,39405.38151952578,"false"
7.0,10,29,45,23148.382431911807,"false"
7.0,7,17,30,39400.19038527366,"false"
7.0,14,29,4,23147.337862928056,"false"
7.0,5,5,5,492.6449920663202,"false"
7.0,23,53,19,1625.6780987381935,"true"
7.0,11,29,44,23151.022394745814,"false"
8.0,4,5,18,491.4194065066522,"false"
8.0,19,53,37,550.4024993777275,"true"
8.0,6,17,43,39322.566244561225,"false"
8.0,12,41,44,5563.831305285694,"false"
8.0,24,41,14,5562.167489687949,"true"
8.0,1,5,41,491.50630409214637,"false"
8.0,13,53,45,1941.9918004512786,"true"
8.0,3,5,14,491.5739687103778,"false"
8.0,2,5,7,491.4332114952149,"false"
8.0,18,41,36,5504.091916073114,"true"
8.0,9,17,9,39315.28546026349,"false"
8.0,21,53,28,504.93935227394104,"true"
8.0,16,41,2,5504.349530614687,"false"
8.0,25,53,13,1650.6848956346512,"true"
8.0,22,41,18,5562.763270139098,"true"
8.0,17,53,6,628.3177185058594,"true"
8.0,20,41,28,5564.06646163687,"true"
8.0,0,5,15,491.48181265923176,"false"
8.0,15,29,1,23098.298412582517,"false"
8.0,8,17,23,39320.436022315174,"false"
8.0,10,29,45,23098.15135075635,"false"
8.0,7,17,30,39314.50329745561,"false"
8.0,14,29,4,23096.957557632064,"false"
8.0,5,5,5,491.59427664722307,"false"
8.0,23,53,19,1857.917827129364,"true"
8.0,11,29,44,23101.168451138074,"false"
9.0,4,5,18,490.3468323199837,"false"
9.0,19,53,37,626.2028117999434,"true"
9.0,6,17,43,39237.88702513138,"false"
9.0,12,41,44,5552.590218446406,"false"
9.0,24,41,14,5550.718425898942,"true"
9.0,1,5,41,490.44459210366466,"false"
9.0,13,53,45,2191.7407755076883,"true"
9.0,3,5,14,490.52071479917504,"false"
9.0,2,5,7,490.36236293211675,"false"
9.0,18,41,36,5492.103405582253,"true"
9.0,9,17,9,39229.69614279643,"false"
9.0,21,53,28,568.0567713081837,"true"
9.0,16,41,2,5492.393221941523,"false"
9.0,25,53,13,1864.0205075889826,"true"
9.0,22,41,18,5551.3886789064845,"true"
9.0,17,53,6,713.8574333190918,"true"
9.0,20,41,28,5552.854769341479,"true"
9.0,0,5,15,490.41703924163573,"false"
9.0,15,29,1,23050.43571415533,"true"
9.0,8,17,23,39235.49052510457,"false"
9.0,10,29,45,23049.486936267564,"true"
9.0,7,17,30,39228.81620963756,"false"
9.0,14,29,4,23048.927252336074,"true"
9.0,5,5,5,490.54356122812595,"false"
9.0,23,53,19,2090.1575555205345,"true"
9.0,11,29,44,23053.66450753033,"true"
10.0,4,5,18,489.27425813331524,"false"
10.0,19,53,37,702.0031242221594,"true"
10.0,6,17,43,39153.20780570153,"false"
10.0,12,41,44,5541.349131607118,"false"
10.0,24,41,14,5539.269362109935,"true"
10.0,1,5,41,489.38288011518296,"false"
10.0,13,53,45,2441.4897505640984,"true"
10.0,3,5,14,489.46746088797227,"false"
10.0,2,5,7,489.2915143690186,"false"
10.0,18,41,36,5480.114895091392,"true"
10.0,9,17,9,39144.10682532936,"false"
10.0,21,53,28,631.1741903424263,"true"
10.0,16,41,2,5480.436913268359,"false"
10.0,25,53,13,2077.356119543314,"true"
10.0,22,41,18,5540.0140876738715,"true"
10.0,17,53,6,799.3971481323242,"true"
10.0,20,41,28,5541.643077046088,"true"
10.0,0,5,15,489.3522658240397,"false"
10.0,15,29,1,23002.573015728143,"true"
10.0,8,17,23,39150.54502789397,"false"
10.0,10,29,45,23002.434308298958,"true"
10.0,7,17,30,39143.12912181951,"false"
10.0,14,29,4,23000.896947040084,"true"
10.0,5,5,5,489.49284580902884,"false"
10.0,23,53,19,2322.397283911705,"true"
10.0,11,29,44,23006.16056392259,"true"
11.0,4,5,18,488.20168394664677,"false"
11.0,19,53,37,777.8034366443753,"true"
11.0,6,17,43,39068.528586271685,"false"
11.0,12,41,44,5530.10804476783,"false"
11.0,24,41,14,5292.8202983209285,"true"
11.0,1,5,41,488.32116812670125,"false"
11.0,13,53,45,2691.2387256205084,"true"
11.0,3,5,14,488.4142069767695,"false"
11.0,2,5,7,488.2206658059205,"false"
11.0,18,41,36,5233.126384600531,"true"
11.0,9,17,9,39058.5175078623,"false"
11.0,21,53,28,694.2916093766689,"true"
11.0,16,41,2,5468.480604595195,"false"
11.0,25,53,13,2290.6917314976454,"true"
11.0,22,41,18,5293.639496441258,"true"
11.0,17,53,6,884.9368629455566,"true"
11.0,20,41,28,5295.431384750697,"true"
11.0,0,5,15,488.2874924064437,"false"
11.0,15,29,1,23189.710317300956,"true"
11.0,8,17,23,39065.599530683365,"false"
11.0,10,29,45,23190.381680330353,"true"
11.0,7,17,30,39057.44203400146,"false"
11.0,14,29,4,23187.866641744095,"true"
11.0,5,5,5,488.4421303899317,"false"
