"run","tick","random_seed","Produced","Deleted","Consumed","Cut Source","Cut Produced","Consumed Low","Consumed High","Quality ES High","Quality ES Low","Quality NL High","Quality NL Low"
1,1000.0,-1196576501,16160.510743005227,8595.504864521703,6862.1277849486,952.043650885316,1428.0654763279738,5974.358945360861,887.7688395877381,1735.9972156278793,3898.4245686556706,1536.951414464321,3781.2530859354506
3,1000.0,-1196562213,7405.495114591002,4547.518348770217,3084.900721365488,514.8202543611611,772.2303815417421,2798.383990446241,286.5167309192471,1036.4470223350695,2581.2795699648395,335.2850934918807,849.6019509087566
5,1000.0,-1196559414,15759.167463029335,10435.727386288643,4840.2123241938425,855.4137902541178,1283.1206853811761,3989.520269256337,850.6920549375051,578.9378714451875,954.5712804675774,2203.6480523508862,4499.469599073708
7,1000.0,-1196554704,10476.006428333587,5726.75540377658,3985.7896415222085,584.4222738699006,876.6334108048513,3729.741013256134,256.0486282660747,271.29102767505293,1383.847797541928,930.7485916672821,3920.479698326338
9,1000.0,-1196551096,14897.60461283721,9285.040853601962,4759.967886036263,924.7400140964374,1387.1100211446574,4021.3004554972276,738.667430539035,1346.0318754983184,2421.8800278891235,1311.4832141502368,2338.6913050440644
11,1000.0,-1196547672,15354.798261929307,8621.466491550189,5691.603624019968,863.1200324999277,1294.6800487498922,4637.343688571544,1054.2599354484246,1410.5850295668997,2967.410720447752,1693.7474502202044,2866.8802034224286
13,1000.0,-1196543642,16442.350761371825,7799.9905763788665,7397.652386249634,849.8957499401932,1274.8436249102892,5692.803510834883,1704.8488754147515,1812.614999474628,2952.1956271448266,2359.1945481243442,4679.412040163735
15,1000.0,-1196538083,15432.533981531033,11182.59405330108,4160.198209716851,831.7234561135683,1247.5851841703525,3444.160507686236,716.0377020306148,1039.756304319987,2076.967684961017,1328.9711428224841,2684.93357802994
17,1000.0,-1196534930,14400.820697840336,8008.522790838077,5913.848175951995,899.256856814665,1348.885285221997,4617.9461648404695,1295.9020111115256,1630.9037006417702,3007.6767824604312,1995.6446404691874,2574.9482323823418
19,1000.0,-1196530466,13163.452887889174,7015.051797430535,5302.762811336211,927.3551572363176,1391.0327358544746,4438.782814941549,863.9799963946618,1938.672889358292,3780.6476627372813,981.5261204028544,1958.2017497602842
21,1000.0,-1196527075,10995.358193259424,8071.495457775647,2545.4344443258888,766.8323218485089,1150.248482772763,1974.4814791704391,570.9529651554498,230.72555458709837,547.1499238293275,1817.1071977323425,1712.459468846357
23,1000.0,-1196524972,15959.862323207126,10511.655218660295,5443.0120704290575,971.6906039415086,1457.535905912262,4523.933869122072,919.0782013069854,1842.463857272323,3206.8917625605654,1506.1200574115078,2321.3055368618097
25,1000.0,-1196520966,9859.091153586422,5328.003985308735,3489.5513984324543,514.5526390588442,771.8289585882665,2521.494773075746,968.0566253567083,694.5479759341221,1462.8356851738065,1707.6401554370045,1728.4441365369644
27,1000.0,-1196518745,14389.593993080238,10886.473091155764,2831.1283235382443,573.6353852412736,860.4530778619103,2321.035655001029,510.09266853721493,641.8666735781696,1520.9973129375862,1203.0806767026847,1982.654022786331
29,1000.0,-1196516599,13367.140928829476,7729.879890970769,5538.25855189589,919.8434212628017,1379.7651318942007,4916.13183862462,622.1267132712699,984.9707708138511,2799.945616791522,1311.692817494044,2993.9185488622966
31,1000.0,-1196512549,12150.009534873116,6817.16469077116,5497.343278803395,844.678688621532,1267.0180329322986,4392.536794692542,1104.8064841108533,1193.8774127437016,3043.694487264771,1811.1395045171178,2405.364391245785
33,1000.0,-1196508839,10804.064300721942,7255.919382243834,3288.290424719614,705.3211762805965,1057.9817644208945,2883.063145928883,405.227278790731,719.042201976699,2012.561433842985,867.669026313342,1515.7066291597791
35,1000.0,-1196506365,12276.90095942515,7971.154147728781,4066.024334384787,546.9465003531259,820.4197505296887,3696.028654924223,369.9956794605639,824.8892117932022,2009.2179276923914,724.5211628091284,2815.093481924518
37,1000.0,-1196502925,12384.463025281642,6374.382865575311,5484.524896260777,848.6297866897362,1272.944680034603,4787.139391556105,697.3855047046713,1110.436957715289,1936.5221564918372,1485.9445742425762,4147.248027747889
39,1000.0,-1196499504,12991.51163974177,7844.665236929006,3835.567653116455,877.1654343599896,1315.7481515399836,3007.934275159591,827.6333779568639,1026.2656132334225,1034.9569046004372,1691.709664223587,2302.067153006389
41,1000.0,-1196496311,17018.305173565117,9805.89463209167,6766.968800977327,1294.6739080635855,1942.0108620953772,5886.501695504199,880.4671054731281,689.3232854292804,2727.0563301019015,2447.7657540291816,3842.571166717527
43,1000.0,-1196490245,7782.114172232499,4005.1706588886177,2980.947830059264,440.5381675721195,660.8072513581791,2581.24788125467,399.69994880459416,331.4682974068189,1105.0472983914524,1143.3489968637489,1974.5111317627973
45,1000.0,-1196488075,10807.648712070455,6858.063178796908,3878.584968208864,529.5621405955727,794.3432108933594,3651.816568581811,226.7683996270531,825.8717881506766,2522.216889008619,328.02546842147046,1966.5814556864025
47,1000.0,-1196484711,17603.7875132018,10223.749425515094,6492.308497775811,763.2953718538324,1144.9430577807482,5756.107298720367,736.2011990554438,1158.377903033162,3142.5004497325226,1511.2980123052075,4489.775564666384
49,1000.0,-1196480415,13589.706931271638,7367.6618908470955,5345.161232690376,763.1970658962609,1144.7955988443907,4879.388772870217,465.77245982015967,741.8898097310375,2095.5003360105616,1316.3529034641308,4084.888017601649
51,1000.0,-1196477143,19616.61714258202,11999.26397044316,6194.1038794229335,1192.882808840581,1789.3242132608711,5417.569659322224,776.5342201007098,1089.024166644329,2372.7349281848483,2021.114115271444,3987.2122995834457
53,1000.0,-1196472839,12649.773181395994,7459.6292854965195,4441.998742114838,667.2284639493893,1000.842695924083,3461.6202078263495,980.3785342884881,646.4428043337426,703.7392649016105,2249.5135359210203,3464.541905721547
55,1000.0,-1196470275,12531.19371118427,6573.482585502923,4654.605580362859,644.4873494029164,966.7310241043745,3803.707978158162,850.8976022046971,1578.7947219403218,2466.032627148643,1267.8092491485213,2678.3181220713436
57,1000.0,-1196467189,9972.114880012763,6770.583169404361,2970.9343976685186,366.1217483048365,549.182622457255,2470.547518767333,500.38687890118604,635.1787080532172,1498.7390816373716,1031.6935314080847,2098.0989146846146
59,1000.0,-1196465161,17701.5707940128,10197.814274283011,6629.568181030033,1045.8419298698427,1568.7628948047643,6450.224389827459,179.3437912025738,526.4879329617233,2523.872451217018,1371.698258923697,5638.695490388803
