"tick","IdSupplier","IdClient","LocationX","LocationY","Size"
4.0,12,63,70.70591103366984,28.27755083669255,1.0
4.0,52,33,60.84758492293939,41.27070893449226,1.0
5.0,12,63,78.24397852164489,25.83913982358807,1.0
5.0,52,33,63.44799142530827,40.58752954560288,1.0
6.0,12,63,85.78204600961995,23.400728810483585,1.0
6.0,52,33,66.04839792767714,39.90435015671349,1.0
8.0,10,57,59.65682618215828,29.4673079510706,5.0
8.0,11,26,62.97437913602902,29.770342739652143,5.0
8.0,16,27,54.288170163323,15.801594803791641,5.0
8.0,17,52,47.94312913602902,15.567157260347855,5.0
9.0,10,57,63.27709800062351,24.69006457696277,5.0
9.0,11,26,69.3592784160532,28.578961689362266,5.0
9.0,16,27,63.06997863275884,18.802923806951345,5.0
9.0,17,52,51.43740341605321,25.039788310637736,5.0
10.0,10,57,66.89736981908874,19.912821202854936,5.0
10.0,11,26,75.74417769607739,27.38758063907239,5.0
10.0,16,27,71.85178710219468,21.80425281011105,5.0
10.0,17,52,54.931677696077394,34.512419360927616,5.0
11.0,57,20,62.39909836556357,13.308495056066729,1.2839218385890718
11.0,26,54,73.33982358572943,30.66011844077147,1.4210835768255912
11.0,52,33,60.84758492293939,41.27070893449226,1.299305919376214
12.0,9,10,34.09375,31.0,25.0
12.0,52,33,60.84758492293939,41.27070893449226,1.3363875962861462
12.0,26,54,73.33982358572943,30.66011844077147,1.4698231728482496
12.0,57,20,56.237024275315775,10.989718849815116,1.2839218385890718
12.0,6,16,30.625,21.3,25.0
12.0,8,11,34.09375,27.7,25.0
12.0,57,20,62.39909836556357,13.308495056066729,1.3167852331179288
12.0,26,54,67.07959564042335,34.18148730904729,1.4210835768255912
12.0,52,33,63.44799142530827,40.58752954560288,1.299305919376214
13.0,9,10,41.671875,32.5,25.0
13.0,52,33,63.44799142530827,40.58752954560288,1.3363875962861462
13.0,57,20,62.39909836556357,13.308495056066729,1.348005457920343
13.0,26,54,67.07959564042335,34.18148730904729,1.4698231728482496
13.0,52,33,60.84758492293939,41.27070893449226,1.371615189350582
13.0,57,20,50.074950185067976,8.670942643563503,1.2839218385890718
13.0,26,54,73.33982358572943,30.66011844077147,1.516125789069775
13.0,6,16,35.3125,18.05,25.0
13.0,8,11,41.671875,28.95,25.0
13.0,57,20,56.237024275315775,10.989718849815116,1.3167852331179288
13.0,26,54,60.819367695117265,37.70285617732311,1.4210835768255912
13.0,52,33,66.04839792767714,39.90435015671349,1.299305919376214
14.0,9,10,49.25,34.0,25.0
14.0,52,33,66.04839792767714,39.90435015671349,1.3363875962861462
14.0,57,20,56.237024275315775,10.989718849815116,1.348005457920343
14.0,26,54,60.819367695117265,37.70285617732311,1.4698231728482496
14.0,49,44,81.28326184232647,25.7570768351122,1.0
14.0,52,33,63.44799142530827,40.58752954560288,1.371615189350582
14.0,26,54,67.07959564042335,34.18148730904729,1.516125789069775
14.0,6,16,40.0,14.8,25.0
14.0,8,11,49.25,30.2,25.0
14.0,57,20,50.074950185067976,8.670942643563503,1.3167852331179288
15.0,57,20,50.074950185067976,8.670942643563503,1.348005457920343
15.0,11,26,62.97437913602902,29.770342739652143,5.797103673875347
15.0,10,57,59.65682618215828,29.4673079510706,5.0
15.0,16,27,54.288170163323,15.801594803791641,5.8206893040521495
15.0,49,44,78.50591891050632,17.795959407542277,1.0
15.0,52,33,66.04839792767714,39.90435015671349,1.371615189350582
15.0,26,54,60.819367695117265,37.70285617732311,1.516125789069775
16.0,3,8,16.25,23.4,5.0
16.0,11,26,69.3592784160532,28.578961689362266,5.797103673875347
16.0,2,7,16.25,32.6,5.0
16.0,1,1,9.7,27.2,0.25
16.0,3,3,9.7,22.2,0.25
16.0,11,26,62.97437913602902,29.770342739652143,5.9156211379170776
16.0,1,9,16.25,27.8,5.0
16.0,0,0,9.7,32.2,0.25
16.0,10,57,63.27709800062351,24.69006457696277,5.0
16.0,16,27,63.06997863275884,18.802923806951345,5.8206893040521495
16.0,49,44,75.72857597868618,9.834841979972353,1.0
16.0,10,57,59.65682618215828,29.4673079510706,5.1083805288438695
16.0,0,6,16.25,30.1,5.0
16.0,2,2,9.7,36.2,0.25
16.0,16,27,54.288170163323,15.801594803791641,5.919535776183576
17.0,0,0,9.7,32.2,0.7375
17.0,3,8,19.375,24.4,5.0
17.0,11,26,62.97437913602902,29.770342739652143,5.307809155905485
17.0,3,3,9.7,22.2,0.7375
17.0,11,26,75.74417769607739,27.38758063907239,5.797103673875347
17.0,2,7,19.375,29.6,5.0
17.0,16,27,54.288170163323,15.801594803791641,6.014310524866099
17.0,2,2,9.7,36.2,0.7375
17.0,1,1,10.7,27.2,0.25
17.0,1,1,9.7,27.2,0.7375
17.0,3,3,10.7,22.2,0.25
17.0,10,57,59.65682618215828,29.4673079510706,5.212903042485666
17.0,11,26,69.3592784160532,28.578961689362266,5.9156211379170776
17.0,1,9,19.375,28.3,5.0
17.0,0,0,10.7,32.2,0.25
17.0,10,57,66.89736981908874,19.912821202854936,5.0
17.0,16,27,71.85178710219468,21.80425281011105,5.8206893040521495
17.0,10,57,63.27709800062351,24.69006457696277,5.1083805288438695
17.0,0,6,19.375,28.35,5.0
17.0,2,2,10.7,36.2,0.25
17.0,16,27,63.06997863275884,18.802923806951345,5.919535776183576
18.0,0,0,10.7,32.2,0.7375
18.0,3,3,9.7,22.2,1.3386612406334084
18.0,3,8,22.5,25.4,5.0
18.0,11,26,69.3592784160532,28.578961689362266,5.307809155905485
18.0,3,3,10.7,22.2,0.7375
18.0,1,1,9.7,27.2,1.3144965733415757
18.0,2,7,22.5,26.6,5.0
18.0,16,27,63.06997863275884,18.802923806951345,6.014310524866099
18.0,2,2,10.7,36.2,0.7375
18.0,1,1,11.7,27.2,0.25
18.0,1,1,10.7,27.2,0.7375
18.0,3,3,11.7,22.2,0.25
18.0,10,57,63.27709800062351,24.69006457696277,5.212903042485666
18.0,16,27,54.288170163323,15.801594803791641,6.044642134289971
18.0,11,26,75.74417769607739,27.38758063907239,5.9156211379170776
18.0,1,9,22.5,28.8,5.0
18.0,0,0,11.7,32.2,0.25
18.0,0,0,9.7,32.2,1.3371421737753728
18.0,2,2,9.7,36.2,1.334502987406427
18.0,10,57,66.89736981908874,19.912821202854936,5.1083805288438695
18.0,0,6,22.5,26.6,5.0
18.0,10,57,59.65682618215828,29.4673079510706,5.244799157549356
18.0,2,2,11.7,36.2,0.25
18.0,16,27,71.85178710219468,21.80425281011105,5.919535776183576
19.0,0,0,11.7,32.2,0.7375
19.0,3,3,10.7,22.2,1.3386612406334084
19.0,11,26,75.74417769607739,27.38758063907239,5.307809155905485
19.0,3,3,11.7,22.2,0.7375
19.0,1,1,10.7,27.2,1.3144965733415757
19.0,2,2,9.7,36.2,2.0173154839021725
