"tick","IdSupplier","IdClient","LocationX","LocationY","Size","LargestQuality","Connected"
5.0,22,21,44.6,22.0,1.3117700582370162,40.0,"false"
6.0,22,21,47.6,23.5,1.3117700582370162,40.0,"false"
7.0,22,21,50.6,25.0,1.3117700582370162,40.0,"false"
9.0,15,20,32.6,11.0,5.0,40.0,"false"
9.0,11,16,32.6,34.5,6.072220442001708,40.0,"false"
9.0,14,12,32.6,14.5,5.0,60.0,"false"
10.0,15,20,35.6,17.5,5.0,40.0,"true"
10.0,11,16,35.6,24.75,6.072220442001708,40.0,"true"
10.0,14,12,35.6,24.75,5.0,60.0,"true"
11.0,15,20,38.6,24.0,5.0,40.0,"true"
11.0,11,16,38.6,15.0,6.072220442001708,40.0,"true"
11.0,14,12,38.6,35.0,5.0,60.0,"true"
12.0,10,18,32.6,39.400000000000006,6.874640756286681,60.0,"false"
12.0,12,13,44.6,43.800000000000004,5.0,60.0,"true"
13.0,6,15,20.6,11.6,25.0,40.0,"false"
13.0,10,18,35.6,37.900000000000006,6.874640756286681,60.0,"true"
13.0,12,13,47.6,44.300000000000004,5.0,60.0,"true"
14.0,6,15,23.6,8.6,25.0,40.0,"true"
14.0,10,18,38.6,36.400000000000006,6.874640756286681,60.0,"true"
14.0,7,11,20.6,42.7,35.54429886280559,40.0,"false"
14.0,12,13,50.6,44.800000000000004,5.0,60.0,"true"
15.0,6,15,26.6,5.6,25.0,40.0,"true"
15.0,20,23,44.6,26.5,1.0,40.0,"true"
15.0,7,11,23.6,43.95,35.54429886280559,40.0,"true"
16.0,9,10,20.6,41.900000000000006,25.0,40.0,"false"
16.0,20,23,47.6,24.25,1.0,40.0,"true"
16.0,7,11,26.6,45.2,35.54429886280559,40.0,"true"
16.0,20,19,44.6,31.6,4.0,40.0,"true"
17.0,9,10,23.6,41.650000000000006,25.0,40.0,"true"
17.0,2,2,2.2,13.2,0.25,40.0,"true"
17.0,20,23,50.6,22.0,1.0,40.0,"true"
17.0,2,6,8.6,13.799999999999999,5.0,40.0,"true"
17.0,20,19,47.6,33.6,4.0,40.0,"true"
17.0,24,25,44.6,14.5,1.444756766082719,40.0,"false"
