"tick","IdClient","IdSupplier","LocationX","LocationY","Size"
1.0,21,16,50.6,23.4,1.0
1.0,23,18,50.6,25.2,1.0
1.0,17,24,50.6,5.0,1.0
1.0,19,22,50.6,35.4,1.0
1.0,25,12,50.6,16.2,1.0
1.0,13,20,50.6,38.8,1.0
2.0,21,16,47.6,17.9,1.0
2.0,17,24,50.6,5.0,1.1009635855152737
2.0,23,18,47.6,28.2,1.0
2.0,13,20,50.6,38.8,1.2073988254647703
2.0,23,18,50.6,25.2,1.2187661453499459
2.0,19,22,50.6,35.4,1.0809640396910254
2.0,25,12,50.6,16.2,1.2059368613932748
2.0,17,24,47.6,6.500000000000001,1.0
2.0,19,22,47.6,31.15,1.0
2.0,25,12,47.6,25.45,1.0
2.0,21,16,50.6,23.4,1.0643710347183515
2.0,13,20,47.6,35.05,1.0
3.0,17,24,47.6,6.500000000000001,1.1009635855152737
3.0,17,24,50.6,5.0,1.1968789917547837
3.0,13,20,47.6,35.05,1.2073988254647703
3.0,21,16,50.6,23.4,1.1255235177007854
3.0,19,22,50.6,35.4,1.1578798773974994
3.0,19,22,44.6,26.9,1.0
3.0,25,12,50.6,16.2,1.401576879716886
3.0,21,16,47.6,17.9,1.0643710347183515
3.0,13,20,44.6,31.299999999999997,1.0
3.0,21,16,44.6,12.399999999999999,1.0
3.0,23,18,44.6,31.2,1.0
3.0,13,20,50.6,38.8,1.4044277096563018
3.0,23,18,47.6,28.2,1.2187661453499459
3.0,19,22,47.6,31.15,1.0809640396910254
3.0,23,18,50.6,25.2,1.4265939834323944
3.0,25,12,47.6,25.45,1.2059368613932748
3.0,17,24,44.6,8.000000000000002,1.0
3.0,25,12,44.6,34.7,1.0
4.0,17,24,44.6,8.000000000000002,1.1009635855152737
4.0,17,24,47.6,6.500000000000001,1.1968789917547837
4.0,13,20,44.6,31.299999999999997,1.2073988254647703
4.0,21,16,47.6,17.9,1.1255235177007854
4.0,19,22,47.6,31.15,1.1578798773974994
4.0,25,12,47.6,25.45,1.401576879716886
4.0,21,16,44.6,12.399999999999999,1.0643710347183515
4.0,13,20,50.6,38.8,1.5916051496382568
4.0,25,12,50.6,16.2,1.5874348971243162
4.0,17,24,50.6,5.0,1.2879986276823183
4.0,13,20,47.6,35.05,1.4044277096563018
4.0,23,18,44.6,31.2,1.2187661453499459
4.0,19,22,44.6,26.9,1.0809640396910254
4.0,23,18,47.6,28.2,1.4265939834323944
4.0,19,22,50.6,35.4,1.2309499232186498
4.0,25,12,44.6,34.7,1.2059368613932748
4.0,21,16,50.6,23.4,1.1836183765340975
4.0,23,18,50.6,25.2,1.6240304296107206
5.0,17,24,44.6,8.000000000000002,1.1968789917547837
5.0,21,16,44.6,12.399999999999999,1.1255235177007854
5.0,18,15,38.6,27.999999999999996,10.0
5.0,19,22,44.6,26.9,1.1578798773974994
5.0,25,12,50.6,16.2,1.764000013661375
5.0,24,10,38.6,16.6,5.0
5.0,25,12,44.6,34.7,1.401576879716886
5.0,20,14,38.6,22.4,5.0
5.0,13,20,47.6,35.05,1.5916051496382568
5.0,25,12,47.6,25.45,1.5874348971243162
5.0,13,20,50.6,38.8,1.7694237176211143
5.0,17,24,47.6,6.500000000000001,1.2879986276823183
5.0,13,20,44.6,31.299999999999997,1.4044277096563018
5.0,19,22,50.6,35.4,1.3003664667487427
5.0,23,18,44.6,31.2,1.4265939834323944
5.0,19,22,47.6,31.15,1.2309499232186498
5.0,17,24,50.6,5.0,1.3745622818134762
5.0,23,18,50.6,25.2,1.8115950534801304
5.0,21,16,47.6,17.9,1.1836183765340975
5.0,22,11,38.6,26.0,5.0
5.0,21,16,50.6,23.4,1.238808492425744
5.0,23,18,47.6,28.2,1.6240304296107206
6.0,25,12,47.6,25.45,1.764000013661375
6.0,24,10,35.6,25.1,5.0
6.0,24,10,38.6,16.6,5.143999532492307
6.0,21,16,50.6,23.4,1.2912391025228083
6.0,20,14,35.6,16.9,5.0
6.0,13,20,44.6,31.299999999999997,1.5916051496382568
6.0,13,20,47.6,35.05,1.7694237176211143
6.0,17,24,44.6,8.000000000000002,1.2879986276823183
6.0,17,24,47.6,6.500000000000001,1.3745622818134762
6.0,23,18,47.6,28.2,1.8115950534801304
6.0,17,24,50.6,5.0,1.456797753238076
6.0,25,12,50.6,16.2,1.9317368743715808
6.0,22,11,35.6,31.249999999999996,5.0
6.0,18,15,35.6,19.499999999999996,10.0
6.0,18,15,38.6,27.999999999999996,10.325903838517842
6.0,25,12,44.6,34.7,1.5874348971243162
6.0,22,11,38.6,26.0,5.116402213631955
6.0,19,22,50.6,35.4,1.3663121831023308
6.0,19,22,47.6,31.15,1.3003664667487427
6.0,19,22,44.6,26.9,1.2309499232186498
6.0,20,14,38.6,22.4,5.064545761055779
6.0,21,16,44.6,12.399999999999999,1.1836183765340975
6.0,21,16,47.6,17.9,1.238808492425744
6.0,13,20,50.6,38.8,1.9383513572048288
6.0,23,18,50.6,25.2,1.9897814461560697
6.0,23,18,44.6,31.2,1.6240304296107206
7.0,25,12,44.6,34.7,1.764000013661375
7.0,24,10,32.6,33.6,5.0
7.0,23,18,50.6,25.2,2.159058519198212
7.0,24,10,35.6,25.1,5.143999532492307
7.0,21,16,47.6,17.9,1.2912391025228083
7.0,20,14,32.6,11.399999999999999,5.0
7.0,22,11,38.6,26.0,5.230830108467635
7.0,13,20,44.6,31.299999999999997,1.7694237176211143
7.0,13,20,50.6,38.8,2.0988326148093575
7.0,17,24,50.6,5.0,1.534921451091446
7.0,17,24,44.6,8.000000000000002,1.3745622818134762
7.0,23,18,44.6,31.2,1.8115950534801304
7.0,17,24,47.6,6.500000000000001,1.456797753238076
7.0,25,12,47.6,25.45,1.9317368743715808
7.0,24,10,38.6,16.6,5.285594858671974
7.0,22,11,32.6,36.49999999999999,5.0
7.0,25,12,50.6,16.2,2.0910868920462766
7.0,18,15,32.6,10.999999999999996,10.0
7.0,19,22,50.6,35.4,1.4289606136382396
7.0,18,15,35.6,19.499999999999996,10.325903838517842
7.0,18,15,38.6,27.999999999999996,10.656295268918036
7.0,22,11,35.6,31.249999999999996,5.116402213631955
7.0,19,22,47.6,31.15,1.3663121831023308
7.0,19,22,44.6,26.9,1.3003664667487427
