%0:0id,1countryName,2SCTypeChar,3x,4y,5money,6sellPrice,7averageBuyCost,8profitPercentage,9maxPackageSize,10securityStockMultiplier,11personalRisk,12personalRiskThreshold,13desperation,14inactivityTimer,15quality
196,South America,P,12.5,40.0,399.0279071450894,1.0,0.3501687496479025,0.42499999999999993,100.0,1.3867230183677748,0.7499999999999994,0.5,0.2749999999999998,0,40,0
199,ES & P,R,50.30134170063831,5.330727814754865,4121.851162531872,56.0,67.94899032356572,0.475,20.0,1.0058176678139716,0.05,0.5,0.8000000000000003,13,0,0
205,Czech Republic,R,88.6875,25.0,4120.513296202751,56.0,59.93610573531429,0.44999999999999996,20.0,1.2365980058675632,0.4,0.5,0.42499999999999993,0,0,0
209,Denmark,R,76.25186156478613,38.328903322801,5302.976917373962,56.0,63.60000000000001,0.475,20.0,1.4265281686093658,0.05,0.5,0.7750000000000002,32,0,0
213,France,R,68.05357336051064,22.61041774819611,5493.176501039053,56.0,56.0,0.5,20.0,1.195138682727702,0.0,0.5,0.7250000000000002,9,0,0
214,ES & P,R,49.11348778239366,5.474959393286463,5529.155328807028,56.0,56.0,0.5,20.0,1.0847235693363473,0.0,0.5,0.6500000000000001,6,0,0
202,United Kingdom,C,70.45419424019347,40.65604840231903,0.0,0.0,84.27392000000002,0.5750000000000001,0.0,1.0471667491365224,0.0,0.5,0.32499999999999984,0,40,154.3059287413489
208,East Europe,C,93.58158045182986,17.50993502925834,0.0,0.0,100.2511043527548,0.5,0.0,1.2113617734285071,0.0,0.5,0.8750000000000003,0,40,128.81776464311406
210,United Kingdom,C,65.83717454772184,42.40705300713733,0.0,0.0,0.0,0.55,0.0,1.016997754923068,0.0,0.5,0.2999999999999998,0,40,76.51448617596179
212,Ireland,C,60.36348778239366,46.71254060671354,0.0,0.0,39.230905572205714,0.525,0.0,1.4852567136986181,0.0,0.5,0.525,0,40,112.85703477193601
200,International,I,25.0,23.0,32497.974599602174,16.0,0.69666912834121,0.44999999999999996,500.0,1.4167423179605976,0.49999999999999994,0.5,0.6750000000000002,5,0,0
201,International,I,25.0,26.0,32938.568295292556,16.0,16.0,0.44999999999999996,500.0,1.016165787819773,0.4000000000000002,0.5,0.7500000000000002,84,0,0
204,International,I,25.0,20.0,33453.306133300575,16.0,10.45603364739803,0.42499999999999993,500.0,1.4479387515457347,0.5000000000000001,0.5,0.5,6,0,0
206,NL & B,W,43.75,25.0,22625.798859132847,47.0,25.991931757039215,0.475,100.0,1.3735929952235892,0.5499999999999999,0.5,0.7250000000000002,8,0,0
211,ES & P,W,43.75,5.0,21713.912838137025,47.0,47.0,0.475,100.0,1.2986614926485345,0.1,0.5,0.9250000000000004,38,0,0
%1Stock:agent,n,qual1,quan1,qual2,qual2,etc.
196,1,40,82.99367459299705
199,2,40,6.460129857745269,60,1.0058176678139716
205,1,40,4.488736198006039
209,1,40,0.5620881078111397
213,1,60,1.195138682727702
214,1,40,1.0847235693363473
202,1,40,0.0
208,1,40,0.10276520858980209
210,1,40,0.0
212,1,40,6.671707834694072
200,2,40,22.006325407002954,60,35.41855794901494
201,1,60,25.404144695494324
204,2,40,15.0,60,36.19846878864337
206,1,40,84.70795019104415
211,1,40,1.4933074632426724
%2Relations:agent1,agent2
C,196,200
C,196,204
S,199,206
C,199,208
S,205,206
C,205,212
S,209,211
S,209,206
C,209,210
C,209,202
C,213,202
C,214,210
S,202,209
S,202,213
S,208,199
S,210,209
S,210,214
S,212,205
S,200,196
C,200,206
C,201,211
C,201,206
S,204,196
C,204,211
S,206,200
S,206,201
C,206,209
C,206,199
C,206,205
S,211,201
S,211,204
C,211,209
